IdExpediente,Hora,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_X,CoordenadaUTM_Y,Longitud,Latitud
2017S000001,4,No es causa del peatón,Turismo,ONE,MINI,Gris,B,21,"428887,27","4583659,1",2.14816,41.399482
2017S000002,2,No es causa del peatón,Motocicleta,ELECTRA GLIDE ULTRA CLASSIC,HARLEY DAVIDSON,Negre,A,31,"431987,02","4583282,61",2.185284,41.396355
2017S000002,2,No es causa del peatón,Turismo,MEGANE,RENAULT,Gris,Desconocido,Desconocido,"431987,02","4583282,61",2.185284,41.396355
2017S000003,6,No es causa del peatón,Turismo,525,BMW,Blau,B,3,"430178,13","4585222,02",2.163422,41.413673
2017S000004,7,No es causa del peatón,Motocicleta,AGILITY 125,KYMCO,Negre,B,5,"431615,63","4583971,63",2.180756,41.402529
2017S000004,7,No es causa del peatón,Turismo,FIESTA,FORD,Gris,B,6,"431615,63","4583971,63",2.180756,41.402529
2017S000005,7,No es causa del peatón,Ciclomotor,PEOPLE 50,KYMCO,Negre,LlicĂ¨ncia,9,"432466,78","4583327,27",2.191008,41.396801
2017S000005,7,No es causa del peatón,Turismo,208,MERCEDES,Gris,B,2,"432466,78","4583327,27",2.191008,41.396801
2017S000005,7,No es causa del peatón,Turismo,Modus,RENAULT,Blau,Desconocido,Desconocido,"432466,78","4583327,27",2.191008,41.396801
2017S000006,11,No es causa del peatón,Bicicleta,Desconocido,BICING,Vermell,Desconocido,Desconocido,"430384,25","4582001,59",2.166257,41.38468
2017S000007,13,No es causa del peatón,Furgoneta,TRANSPORTER,VOLKSWAGEN,Blanc,B,31,"428382,27","4577960,59",2.142793,41.348108
2017S000008,10,No es causa del peatón,Motocicleta,SH 125,HONDA,Negre,B,8,"430197,72","4583116,33",2.163892,41.394706
2017S000008,10,No es causa del peatón,Turismo,C3,CITROEN,MarrĂł,B,5,"430197,72","4583116,33",2.163892,41.394706
2017S000009,14,No es causa del peatón,Ciclomotor,Desconocido,GOVECS,Blanc,B,2,"428117,94","4581559,38",2.139199,41.3805
2017S000009,14,No es causa del peatón,Turismo,Altea,SEAT,Vermell,B,11,"428117,94","4581559,38",2.139199,41.3805
2017S000010,12,No es causa del peatón,AutobĂşs,CITARO,MERCEDES,Vermell,D,20,"431588,98","4586110,37",2.180191,41.421792
2017S000011,15,No es causa del peatón,Bicicleta,Desconocido,Desconocido,Vermell,Desconocido,Desconocido,"433205,1","4582713,55",2.199915,41.391332
2017S000011,15,No es causa del peatón,Furgoneta,BERLINGO,CITROEN,Gris,B,19,"433205,1","4582713,55",2.199915,41.391332
2017S000012,10,No es causa del peatón,Ciclomotor,VITALITE 50,KYMCO,Negre,AM,7,"431727,67","4583859,83",2.182109,41.40153
2017S000012,10,No es causa del peatón,Turismo,307,PEUGEOT,Negre,B,11,"431727,67","4583859,83",2.182109,41.40153
2017S000013,15,Desobedecer Semáforo,Turismo,GOLF,VOLKSWAGEN,Negre,B,35,"430079,43","4582893,47",2.162507,41.392688
2017S000014,16,No es causa del peatón,Motocicleta,BURGMAN,SUZUKI,Altres,B,15,"428117,94","4581559,38",2.139199,41.3805
2017S000014,16,No es causa del peatón,Turismo,900,SAAB,Altres,B,15,"428117,94","4581559,38",2.139199,41.3805
2017S000015,17,No es causa del peatón,Turismo,ASTRA,OPEL,Blanc,B,32,"433317,96","4585942,04",2.200899,41.420424
2017S000015,17,No es causa del peatón,Turismo,GOLF,VOLKSWAGEN,Desconocido,B,20,"433317,96","4585942,04",2.200899,41.420424
2017S000015,17,No es causa del peatón,Turismo,Gran Scenic,RENAULT,Gris,B,11,"433317,96","4585942,04",2.200899,41.420424
2017S000016,16,No es causa del peatón,AutobĂşs,CITYCLASS,IRISBUS,Vermell,D,10,"432000,64","4583338,75",2.185433,41.39686
2017S000017,19,No es causa del peatón,Motocicleta,UX 125,SUZUKI,Negre,B,4,"433348,96","4585184,79",2.201353,41.4136
2017S000017,19,No es causa del peatón,Turismo,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,"433348,96","4585184,79",2.201353,41.4136
2017S000018,19,No es causa del peatón,Motocicleta,NSC 110,HONDA,Blanc,B,8,"428947,81","4582857,9",2.148972,41.392264
2017S000018,19,No es causa del peatón,Turismo,MINI COOPER,MINI,Negre,B,1,"428947,81","4582857,9",2.148972,41.392264
2017S000019,19,No es causa del peatón,AutobĂşs,O 530,MERCEDES,Altres,D,17,"433728,31","4584213,68",2.206006,41.404886
2017S000020,17,No es causa del peatón,AutobĂşs,CITARO,MERCEDES,Vermell,D,26,"430869,82","4587718,25",2.171404,41.436213
2017S000020,17,No es causa del peatón,Turismo,Desconocido,Desconocido,Platejat,Desconocido,Desconocido,"430869,82","4587718,25",2.171404,41.436213
2017S000021,12,No es causa del peatón,Motocicleta,XCITING 250,KYMCO,Negre,Desconocido,Desconocido,"434100,3","4585503,64",2.210316,41.416535
2017S000021,12,No es causa del peatón,Turismo,CIVIC,HONDA,Gris,Desconocido,Desconocido,"434100,3","4585503,64",2.210316,41.416535
2017S000021,12,No es causa del peatón,Turismo,POLO,VOLKSWAGEN,Gris,Desconocido,Desconocido,"434100,3","4585503,64",2.210316,41.416535
2017S000021,12,No es causa del peatón,Turismo,ZAFIRA,OPEL,Gris,Desconocido,Desconocido,"434100,3","4585503,64",2.210316,41.416535
2017S000022,22,No es causa del peatón,Bicicleta,Desconocido,Desconocido,Negre,Desconocido,Desconocido,"429371,43","4583435,83",2.153976,41.397507
2017S000022,22,No es causa del peatón,Motocicleta,GS 500 E,SUZUKI,Blanc,A,11,"429371,43","4583435,83",2.153976,41.397507
2017S000023,21,No es causa del peatón,Motocicleta,Desconocido,SYM,Gris,B,14,"427686,09","4580345,85",2.13419,41.369527
2017S000023,21,No es causa del peatón,Motocicleta,FORZA,HONDA,Negre,B,5,"427686,09","4580345,85",2.13419,41.369527
2017S000024,6,Desobedecer Semáforo,"Camión <= 3,5 Tm",LT 46,VOLKSWAGEN,Blanc,B,30,"429634,13","4579989,69",2.157522,41.366493
2017S000025,7,No es causa del peatón,Motocicleta,X motion,TGB,Blanc,A,6,"427082,07","4582281,06",2.126736,41.386909
