IdExpediente,Hora,Turno,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_X,CoordenadaUTM_Y,Longitud,Latitud
2019S008016,15,Tarde,No es causa del peatón,Motocicleta,X-MAX 300,YAMAHA,Negre,A,39,431646.63,4583986.73,2.181041091748922,41.40269284709469
2019S005477,0,Noche,No es causa del peatón,Turisme,R. MEGANE,RENAULT,Blau,B,13,431646.63,4583986.73,2.181041091748922,41.40269284709469
2019S005477,0,Noche,No es causa del peatón,Veh. mobilitat personal amb motor,M-365,XIAOMI,Gris,Desconocido,Desconocido,431646.63,4583986.73,2.181041091748922,41.40269284709469
2019S004218,9,Matutino,No es causa del peatón,"Camión <= 3,5 tones",FORD TRANSIT,FORD,Desconocido,B,3,431646.63,4583986.73,2.181041091748922,41.40269284709469
2019S004218,9,Matutino,No es causa del peatón,Veh. mobilitat personal amb motor,M-365,XIAOMI,Negre,Sense permĂ­s,Desconocido,431646.63,4583986.73,2.181041091748922,41.40269284709469
2019S002324,17,Tarde,No es causa del peatón,Turisme,Superb,SKODA,Negre,A,28,431646.63,4583986.73,2.181041091748922,41.40269284709469
2019S002324,17,Tarde,No es causa del peatón,Veh. mobilitat personal amb motor,,ES DESCONEIX,Negre,Es desconeix,Desconocido,431646.63,4583986.73,2.181041091748922,41.40269284709469
2019S006306,14,Tarde,No es causa del peatón,Motocicleta,GPD125-A,YAMAHA,Negre,B,13,431553.57,4584083.99,2.1799168798126933,41.40356089892447
2019S006306,14,Tarde,No es causa del peatón,Turisme,TIGUAN,VOLKSWAGEN,Negre,B,10,431553.57,4584083.99,2.1799168798126933,41.40356089892447
2019S003822,17,Tarde,No es causa del peatón,Motocicleta,RKS/TITANIC/TNT/TNT 15,KEEWAY,Altres,A2,1,431553.57,4584083.99,2.1799168798126933,41.40356089892447
2019S003431,23,Noche,No es causa del peatón,Ciclomotor,ES2,ASKOLL,Blanc,B,2,431592.94,4584058.41,2.1803907311478565,41.403333866255366
2019S003431,23,Noche,No es causa del peatón,Turisme,ASTRA,OPEL,Negre,B,5,431592.94,4584058.41,2.1803907311478565,41.403333866255366
2019S006105,18,Tarde,No es causa del peatón,Bicicleta,ROCKRIDER,DECATHLON,Desconocido,AM,21,431526.41,4584096.03,2.179590619473157,41.40366702199324
2019S006105,18,Tarde,No es causa del peatón,Furgoneta,CLIO SOCIETE,RENAULT,Blanc,B,15,431526.41,4584096.03,2.179590619473157,41.40366702199324
2019S004068,6,Matutino,No es causa del peatón,Turisme,A3 SPORTBACK,AUDI,Desconocido,B,12,431460.95,4584179.19,2.178798135039428,41.404410423365285
2019S004068,6,Matutino,No es causa del peatón,Turisme,ASTRA,OPEL,Desconocido,B,9,431460.95,4584179.19,2.178798135039428,41.404410423365285
2019S009025,0,Noche,No es causa del peatón,Motocicleta,S01,SILENCE,Altres,B,7,431460.95,4584179.19,2.178798135039428,41.404410423365285
2019S009025,0,Noche,No es causa del peatón,Turisme,MEGANE SPORT TOURER,RENAULT,Blanc,B,18,431460.95,4584179.19,2.178798135039428,41.404410423365285
2019S008690,11,Matutino,No es causa del peatón,Turisme,C4 PICASSO BLUEHDI 100,CITROEN,Negre/Groc,B,15,431460.95,4584179.19,2.178798135039428,41.404410423365285
2019S008690,11,Matutino,No es causa del peatón,Turisme,LEON,SEAT,Gris,B,11,431460.95,4584179.19,2.178798135039428,41.404410423365285
2019S003769,10,Matutino,No es causa del peatón,Bicicleta,,RIDE,Gris,Desconocido,Desconocido,431331.77,4584329.05,2.1772357972614644,41.40574910949423
2019S003769,10,Matutino,No es causa del peatón,"Camión <= 3,5 tones",CABSTAR,NISSAN,Blanc,B,21,431331.77,4584329.05,2.1772357972614644,41.40574910949423
2019S006517,13,Matutino,No es causa del peatón,Furgoneta,DOBLO,FIAT,Blau,B,26,431273.03,4584371.26,2.17652830790861,41.40612424995348
2019S006517,13,Matutino,No es causa del peatón,Veh. mobilitat personal amb motor,Desconocido,XIAOMI,Negre,Desconocido,Desconocido,431273.03,4584371.26,2.17652830790861,41.40612424995348
2019S000240,6,Matutino,No es causa del peatón,"Camión > 3,5 tones",ATLEON,NISSAN,Blau,C,9,431273.03,4584371.26,2.17652830790861,41.40612424995348
2019S000240,6,Matutino,No es causa del peatón,Turisme,TUCSON,HYUNDAI,Gris,B,14,431273.03,4584371.26,2.17652830790861,41.40612424995348
2019S002122,18,Tarde,No es causa del peatón,Ciclomotor,TYPHOON 50,PIAGGIO,Negre,Desconocido,Desconocido,431259.41,4584403.87,2.176361665659624,41.406416788158865
2019S002122,18,Tarde,No es causa del peatón,Motocicleta,MILER 125,KYMCO,MarrĂł,Desconocido,Desconocido,431259.41,4584403.87,2.176361665659624,41.406416788158865
2019S002122,18,Tarde,No es causa del peatón,Motocicleta,RAMBLA 125,DERBI,Negre,Desconocido,Desconocido,431259.41,4584403.87,2.176361665659624,41.406416788158865
2019S002122,18,Tarde,No es causa del peatón,Motocicleta,SH 100,HONDA,Negre,Desconocido,Desconocido,431259.41,4584403.87,2.176361665659624,41.406416788158865
2019S002122,18,Tarde,No es causa del peatón,Turisme,A 200 D,MERCEDES-BENZ,Gris,Desconocido,Desconocido,431259.41,4584403.87,2.176361665659624,41.406416788158865
2019S002638,15,Tarde,No es causa del peatón,Furgoneta,SPRINTER,MERCEDES,Blanc,B,9,431259.41,4584403.87,2.176361665659624,41.406416788158865
2019S002638,15,Tarde,No es causa del peatón,Motocicleta,SH 1125,HONDA,Gris,B,28,431259.41,4584403.87,2.176361665659624,41.406416788158865
2019S002638,15,Tarde,No es causa del peatón,Turisme,FORTWO,SMART,Blanc,Desconocido,Desconocido,431259.41,4584403.87,2.176361665659624,41.406416788158865
2019S002011,22,Noche,No es causa del peatón,Motocicleta,MT07A,YAMAHA,Gris,A2,2,431215.54,4584417.95,2.175835254072721,41.40653984254123
2019S002011,22,Noche,No es causa del peatón,Turisme,AURIS,TOYOTA,Blau,B,3,431215.54,4584417.95,2.175835254072721,41.40653984254123
2019S005725,20,Tarde,No es causa del peatón,Motocicleta,G 310 GS,BMW,Desconocido,A,2,431223.21,4584422.86,2.1759264502769518,41.40658472206981
2019S005725,20,Tarde,No es causa del peatón,Turisme,RAPID,SKODA,Negre/Groc,B,4,431223.21,4584422.86,2.1759264502769518,41.40658472206981
2019S009424,13,Matutino,No es causa del peatón,Motocicleta,PEOPLE GTI 125,KYMCO,Desconocido,A,15,431223.21,4584422.86,2.1759264502769518,41.40658472206981
2019S009424,13,Matutino,No es causa del peatón,Turisme,E 220 D,MERCEDES-BENZ,Gris,B,18,431223.21,4584422.86,2.1759264502769518,41.40658472206981
2019S005470,17,Tarde,Cruzar fuera de paso peatonal,Turisme,LAGUNA,RENAULT,Gris,B,34,431206.63,4584427.21,2.1757276110052515,41.406622479842504
2019S008656,11,Matutino,No es causa del peatón,AutobĂşs,ALEXANDER DENNIS LIMIT,ALEXANDER DENNIS,Vermell,D,14,431143.61,4584523.59,2.1749627298342142,41.40748512969714
2019S000634,23,Noche,No es causa del peatón,Furgoneta,BERL. 1.9D,CITROEN,Negre,B,5,431168.78,4584497.18,2.1752668471354264,41.40724942495992
2019S000634,23,Noche,No es causa del peatón,Turisme,TOLEDO,SEAT,Gris,B,35,431168.78,4584497.18,2.1752668471354264,41.40724942495992
2019S009786,17,Tarde,No es causa del peatón,Motocicleta,XP500A,YAMAHA,Desconocido,A,23,431087.38,4584563.89,2.1742854537884235,41.40784326872855
2019S009786,17,Tarde,No es causa del peatón,Turisme,Tivoli,SSANGYONG,Desconocido,B,8,431087.38,4584563.89,2.1742854537884235,41.40784326872855
2019S006834,16,Tarde,No es causa del peatón,"Camión > 3,5 tones",SPRINTER,MERCEDES-BENZ,Vermell,Desconocido,Desconocido,431087.38,4584563.89,2.1742854537884235,41.40784326872855
2019S006834,16,Tarde,No es causa del peatón,Motocicleta,HD 2 200I CBS,S.Y.M,Negre,A,29,431087.38,4584563.89,2.1742854537884235,41.40784326872855
2019S008450,22,Noche,No es causa del peatón,Ciclomotor,LUDIX,PEUGEOT,Negre,B,1,431087.38,4584563.89,2.1742854537884235,41.40784326872855
2019S008450,22,Noche,No es causa del peatón,Furgoneta,110 CDI,MERCEDES-BENZ,Blau,B,1,431087.38,4584563.89,2.1742854537884235,41.40784326872855
2019S003549,22,Noche,No es causa del peatón,Turisme,XSARA,CITROEN,Gris,B,8,431087.38,4584563.89,2.1742854537884235,41.40784326872855
2019S003549,22,Noche,No es causa del peatón,Veh. mobilitat personal amb motor,Desconocido,Desconocido,Desconocido,Es desconeix,Desconocido,431087.38,4584563.89,2.1742854537884235,41.40784326872855
2019S006300,10,Matutino,No es causa del peatón,Motocicleta,LIBERTY,PIAGGIO,MarrĂł,B,15,430993.37,4584658.47,2.1731500040845866,41.408687032842366
2019S006300,10,Matutino,No es causa del peatón,Motocicleta,SH 125,HONDA,Blanc,B,16,430993.37,4584658.47,2.1731500040845866,41.408687032842366
2019S008546,14,Tarde,No es causa del peatón,Motocicleta,SYMPHONY 125 ST,S.Y.M,MarrĂł,B,15,430993.37,4584658.47,2.1731500040845866,41.408687032842366
2019S008546,14,Tarde,No es causa del peatón,Turisme,SPORTAGE,KIA,Blanc,B,5,430993.37,4584658.47,2.1731500040845866,41.408687032842366
2019S005730,9,Matutino,No es causa del peatón,Motocicleta,NH90 YUPI,HONDA,Negre,B,9,430993.37,4584658.47,2.1731500040845866,41.408687032842366
2019S005730,9,Matutino,No es causa del peatón,Turisme,ASTRA,OPEL,Gris,B,4,430993.37,4584658.47,2.1731500040845866,41.408687032842366
2019S004814,19,Tarde,No es causa del peatón,Motocicleta,Desconocido,BMW,Gris,A,46,430993.37,4584658.47,2.1731500040845866,41.408687032842366
2019S004814,19,Tarde,No es causa del peatón,Motocicleta,SCV100,HONDA,Gris,B,10,430993.37,4584658.47,2.1731500040845866,41.408687032842366
2019S004194,15,Tarde,No es causa del peatón,Motocicleta,LIBERTY 125 3V,PIAGGIO,Desconocido,A,30,430899.2,4584756.67,2.1720121968672377,41.40956337533475
2019S004194,15,Tarde,No es causa del peatón,Turisme,FOCUS,FORD,Desconocido,B,5,430899.2,4584756.67,2.1720121968672377,41.40956337533475
2019S009023,23,Noche,No es causa del peatón,Motocicleta,SH 100,HONDA,Verd,B,7,430899.2,4584756.67,2.1720121968672377,41.40956337533475
2019S009023,23,Noche,No es causa del peatón,Turisme,RIO,KIA,Desconocido,B,11,430899.2,4584756.67,2.1720121968672377,41.40956337533475
2019S009458,15,Tarde,No es causa del peatón,Bicicleta,Desconocido,Desconocido,Gris,Desconocido,Desconocido,430793.07,4583897.51,2.17084091008324,41.40181614987915
2019S009458,15,Tarde,No es causa del peatón,Turisme,ASTRA+,OPEL,Gris,B,11,430793.07,4583897.51,2.17084091008324,41.40181614987915
2019S007053,8,Matutino,No es causa del peatón,Motocicleta,J300,KAWASAKI,Verd,A,5,430887.36,4583990.91,2.171958124370964,41.402665486685095
2019S007053,8,Matutino,No es causa del peatón,Veh. mobilitat personal amb motor,,XIAOMI,Negre,Desconocido,Desconocido,430887.36,4583990.91,2.171958124370964,41.402665486685095
2019S005122,12,Matutino,No es causa del peatón,Furgoneta,Caravan,VOLKSWAGEN,MarrĂł,B,14,430887.36,4583990.91,2.171958124370964,41.402665486685095
2019S005122,12,Matutino,No es causa del peatón,Veh. mobilitat personal amb motor,Desconocido,Desconocido,Negre,Sense permĂ­s,Desconocido,430887.36,4583990.91,2.171958124370964,41.402665486685095
2019S001318,9,Matutino,No es causa del peatón,Motocicleta,AGILITY 125,KYMCO,Blau,B,11,430983.35,4584083.92,2.1730957481635604,41.40351144638185
2019S001318,9,Matutino,No es causa del peatón,Motocicleta,DL 650,SUZUKI,Gris,A,27,430983.35,4584083.92,2.1730957481635604,41.40351144638185
2019S003098,14,Tarde,No es causa del peatón,Bicicleta,,ES DESCONEIX,Desconocido,Desconocido,Desconocido,431005.28,4584123.92,2.1733535148337406,41.403873594483656
2019S003098,14,Tarde,No es causa del peatón,Veh. mobilitat personal amb motor,M-365,XIAOMI,Negre,B,17,431005.28,4584123.92,2.1733535148337406,41.403873594483656
2019S000453,12,Matutino,Transitar a pie por calzada,Bicicleta,,BICING,Vermell,Desconocido,Desconocido,431064.4,4584181.55,2.1740541556946367,41.40439772250839
2019S005440,17,Tarde,No es causa del peatón,Bicicleta,,BICING,Vermell,Desconocido,Desconocido,431064.4,4584181.55,2.1740541556946367,41.40439772250839
2019S005440,17,Tarde,No es causa del peatón,Veh. mobilitat personal amb motor,M-365,XIAOMI,Negre,Desconocido,Desconocido,431064.4,4584181.55,2.1740541556946367,41.40439772250839
2019S009317,18,Tarde,Cruzar fuera de paso peatonal,Veh. mobilitat personal amb motor,M-365,XIAOMI,Negre,Desconocido,Desconocido,431064.43,4584181.68,2.1740544997402207,41.40439889593944
2019S001130,13,Matutino,No es causa del peatón,Ciclomotor,ATLANTIS,DERBI,Desconocido,LlicĂ¨ncia,13,431089.2,4584191.65,2.174349672758187,41.40449081826835
2019S001130,13,Matutino,No es causa del peatón,Turisme,TOLEDO,SEAT,Desconocido,B,26,431089.2,4584191.65,2.174349672758187,41.40449081826835
2019S007609,11,Matutino,No es causa del peatón,Motocicleta,SH125AD,HONDA,Desconocido,B,4,431183.54,4584280.16,2.1754681334944244,41.40529608358267
2019S007609,11,Matutino,No es causa del peatón,Turisme,GOLF,VOLKSWAGEN,Desconocido,B,0,431183.54,4584280.16,2.1754681334944244,41.40529608358267
2019S004950,9,Matutino,No es causa del peatón,Motocicleta,SH 125,HONDA,Desconocido,B,34,431183.54,4584280.16,2.1754681334944244,41.40529608358267
2019S004950,9,Matutino,No es causa del peatón,Turisme,SANDERO,DACIA,Desconocido,B,15,431183.54,4584280.16,2.1754681334944244,41.40529608358267
2019S006057,19,Tarde,No es causa del peatón,Turisme,LANOS,DAEWOO,Gris,B1,46,431183.54,4584280.16,2.1754681334944244,41.40529608358267
2019S006057,19,Tarde,No es causa del peatón,Veh. mobilitat personal amb motor,Desconocido,Desconocido,Blanc,Desconocido,Desconocido,431183.54,4584280.16,2.1754681334944244,41.40529608358267
2019S002053,20,Tarde,No es causa del peatón,Turisme,A4,AUDI,Vermell,B,39,431183.54,4584280.16,2.1754681334944244,41.40529608358267
2019S002053,20,Tarde,No es causa del peatón,Veh. mobilitat personal amb motor,Desconocido,Desconocido,Desconocido,Es desconeix,Desconocido,431183.54,4584280.16,2.1754681334944244,41.40529608358267
2019S003905,9,Matutino,No es causa del peatón,Furgoneta,V 220 D,MERCEDES-BENZ,Negre,B,Desconocido,431200.21,4584314.32,2.1756636614544638,41.40560517721368
2019S006816,17,Tarde,No es causa del peatón,Furgoneta,SCUDO,FIAT,Blanc,B,3,431183.54,4584280.16,2.1754681334944244,41.40529608358267
2019S006816,17,Tarde,No es causa del peatón,Veh. mobilitat personal amb motor,M-365,XIAOMI,Negre,Desconocido,Desconocido,431183.54,4584280.16,2.1754681334944244,41.40529608358267
2019S007387,19,Tarde,No es causa del peatón,Altres vehicles sense motor,Desconocido,Desconocido,Desconocido,B,7,431273.03,4584371.26,2.17652830790861,41.40612424995348
2019S007387,19,Tarde,No es causa del peatón,Ciclomotor,SH 50,HONDA,Gris,AM,12,431273.03,4584371.26,2.17652830790861,41.40612424995348
2019S008029,9,Matutino,No es causa del peatón,Veh. mobilitat personal sense motor,Desconocido,XIAOMI,Negre,B,12,431273.03,4584371.26,2.17652830790861,41.40612424995348
2019S001625,19,Tarde,No es causa del peatón,Bicicleta,Desconocido,Desconocido,Gris,Desconocido,Desconocido,431369.9,4584462.66,2.177676761550729,41.406955739710476
2019S001625,19,Tarde,No es causa del peatón,Turisme,NX 300H,LEXUS,Platejat,B,43,431369.9,4584462.66,2.177676761550729,41.406955739710476
2019S002460,20,Tarde,No es causa del peatón,Bicicleta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,431369.9,4584462.66,2.177676761550729,41.406955739710476
2019S002460,20,Tarde,No es causa del peatón,Turisme,NISSAN QASHQAI,NISSAN,Desconocido,B,20,431369.9,4584462.66,2.177676761550729,41.406955739710476
2019S008794,13,Matutino,No es causa del peatón,Veh. mobilitat personal amb motor,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,431387.05,4584479.05,2.1778800647753065,41.40710482375796
2019S008794,13,Matutino,No es causa del peatón,Veh. mobilitat personal amb motor,M-365,XIAOMI,Negre,Desconocido,Desconocido,431387.05,4584479.05,2.1778800647753065,41.40710482375796
2019S002911,0,Noche,No es causa del peatón,Furgoneta,TRAFIC,RENAULT,Blau,B,14,430818.03,4584098.55,2.1711164702045287,41.40362898223898
2019S002911,0,Noche,No es causa del peatón,Taxi,PRIUS,TOYOTA,Negre/Groc,B,4,430818.03,4584098.55,2.1711164702045287,41.40362898223898
2019S002405,13,Matutino,No es causa del peatón,Motocicleta,CMX250,HONDA,Gris,A2,1,430834.25,4584114.31,2.171308695130062,41.403772323461396
2019S002405,13,Matutino,No es causa del peatón,Turisme,123D,BMW,Vermell,B,16,430834.25,4584114.31,2.171308695130062,41.403772323461396
2019S008604,20,Tarde,No es causa del peatón,Motocicleta,YP 400,YAMAHA,Desconocido,A,58,430929.8,4584208.0,2.172440988261177,41.404624376128695
2019S008604,20,Tarde,No es causa del peatón,Turisme,NIRO,KIA,Desconocido,B,8,430929.8,4584208.0,2.172440988261177,41.404624376128695
2019S007288,10,Matutino,No es causa del peatón,"Camión <= 3,5 tones",220.18-D,RENAULT,Blanc,C,9,431021.67,4584294.23,2.173530139916815,41.40540891254891
