IdExpediente,IdDistrito,Distrito,IdBarrio,Barrio,IdCalle,Calle,IdPostal,DiaSemana,Año,Mes,DiaMes,Hora,Turno,Causa_de_Accidente,NumMuertes,LesionadosLeves,LesionadosGraves,NumVictimas,NumVehiculos_Implicados,CoordenadaUTM_X,CoordenadaUTM_Y,Longitud,Latitud
2018S000150,3,Sants-Montjuic,12,la Marina del Prat Vermell,701819,Número 3 Zona Franca / E Zona Franca,69-75,Dilluns,2018,Ene,8,7,Matutino,No es causa del peatón,0,1,0,1,2,427265.97,4576644.81,2.129612,41.336163
2018S000761,3,Sants-Montjuic,11,el Poble-sec,234001,OlĂ­mpic,5-7,Diumenge,2018,Ene,28,19,Tarde,No es causa del peatón,0,0,0,0,2,429210.58,4579530.49,2.152513,41.362326
2018S005151,3,Sants-Montjuic,12,la Marina del Prat Vermell,370531,A Zona Franca / Número 6 Zona Franca,,Dimecres,2018,Jul,4,13,Matutino,No es causa del peatón,0,1,0,1,2,427519.99,4575229.36,2.1328169999999997,41.323437
2018S000933,3,Sants-Montjuic,12,la Marina del Prat Vermell,701819,Número 3 Zona Franca / E,69-75,Diumenge,2018,Feb,4,7,Matutino,No es causa del peatón,0,2,0,2,1,427360.59,4576569.22,2.130752,41.33549
2018S006926,3,Sants-Montjuic,12,la Marina del Prat Vermell,370203,Número 3 Zona Franca,77-111,Divendres,2018,Sep,14,6,Matutino,No es causa del peatón,0,0,0,0,2,426842.33,4576816.19,2.124529,41.337668
2018S002192,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",207803,MĂŠndez NúĂąez,13,Dilluns,2018,Mar,19,9,Matutino,No es causa del peatón,0,0,0,0,1,431337.81,4582559.03,2.1776009999999997,41.389788
2018S007095,3,Sants-Montjuic,12,la Marina del Prat Vermell,370531,Número 6 Zona Franca / A Zona Franca,,Divendres,2018,Sep,21,6,Matutino,No es causa del peatón,0,1,0,1,2,427519.99,4575229.36,2.1328169999999997,41.323437
2018S008180,3,Sants-Montjuic,12,la Marina del Prat Vermell,701305,Número 6 Zona Franca / A Zona Franca,,Divendres,2018,Oct,26,18,Tarde,No es causa del peatón,0,1,0,1,2,427519.99,4575229.36,2.1328169999999997,41.323437
2018S009493,3,Sants-Montjuic,12,la Marina del Prat Vermell,370531,Número 6 Zona Franca,80,Dijous,2018,Dic,13,6,Matutino,No es causa del peatón,0,1,0,1,2,426726.56,4575244.14,2.123335,41.323498
2018S007094,3,Sants-Montjuic,12,la Marina del Prat Vermell,370407,Número 5 Zona Franca,2,Dijous,2018,Sep,20,23,Noche,No es causa del peatón,0,1,1,2,2,427425.58,4575286.54,2.131682,41.323944
