IdExpediente,Hora,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_Y,CoordenadaUTM_X
2010S002961,23,Cruzar fuera de paso peatonal,Turismo,GOLF,VOLKSWAGEN,Desconocido,B,3,4585536.52,429863.89
2010S003114,15,No es causa del peatón,Ciclomotor,YR,YAMAHA,Negre,AM,1,4589093.65,431789.16
2010S001244,15,No es causa del peatón,Furgoneta,BERLINGO,CITROEN,Blanc,B,9,4578885.9,429949.38
2010S001244,15,No es causa del peatón,Taxi,TOLEDO,SEAT,Altres,BTP,16,4578885.9,429949.38
2010S001421,14,No es causa del peatón,Furgoneta,TRANSIT,FORD,Blanc,B,5,4583562.68,431291.81
2010S001424,17,No es causa del peatón,Motocicleta,Compay,APRILIA,Negre,B,5,4583788.5,429402.5
2010S001426,19,No es causa del peatón,Ciclomotor,LIBERTY 50,PIAGGIO,Gris,A,1,4584592.69,430175.2
2010S001554,13,No es causa del peatón,"Camión <= 3,5 Tm",CANTER,MITSUBISHI,Vermell,B,7,4586026.73,429950.51
2010S001562,14,No es causa del peatón,Motocicleta,CBF 600,HONDA,Negre,A,8,4582031.71,428289.03
2010S002869,15,No es causa del peatón,Turismo,ASTRA,OPEL,Blanc,B,29,4588738.87,432219.24
2010S003001,11,No es causa del peatón,Turismo,TOLEDO,SEAT,Gris,B,26,4582139.04,429934.38
2010S000628,13,No es causa del peatón,Motocicleta,X-9,PIAGGIO,Gris,A,43,4583631.42,432108.84
2010S000630,13,No es causa del peatón,Furgoneta,BERLINGO,CITROEN,Desconocido,B,6,4584453.64,431960.1
2010S000899,18,No es causa del peatón,Motocicleta,X Max,YAMAHA,Gris,A,20,4581424.02,429815.39
2010S000900,17,No es causa del peatón,Turismo,106,PEUGEOT,Vermell,Desconocido,Desconocido,4584886.01,434467.95
2010S000421,12,No es causa del peatón,Furgoneta,KANGOO,RENAULT,Blanc,B,12,4582492.35,431231.6
2010S000559,9,No es causa del peatón,Turismo,CLIO,RENAULT,Blanc,B,33,4583137.95,429454.9
2010S000560,11,No es causa del peatón,Motocicleta,FZS 600 FAZER,YAMAHA,Gris,A,20,4581663.87,427676.44
2010S000560,11,No es causa del peatón,Turismo,MAZDA 6,MAZDA,Gris,B,12,4581663.87,427676.44
2010S000836,11,No es causa del peatón,Turismo,FOCUS,FORD,Blau,B,7,4584370.66,434054.76
2010S000837,10,Cruzar fuera de paso peatonal,Turismo,JUSTY,SUBARU,Negre,B,7,4586169.64,431521.51
