IdExpediente,IdDistrito,Distrito,IdBarrio,Barrio,IdCalle,Calle,IdPostal,DiaSemana,Año,Mes,DiaMes,Hora,Turno,Causa_de_Accidente,NumMuertes,LesionadosLeves,LesionadosGraves,NumVictimas,NumVehiculos_Implicados,CoordenadaUTM_X,CoordenadaUTM_Y,Longitud,Latitud
2019S000001,5,Sarriŕ-Sant Gervasi,26,Sant Gervasi - Galvany,144601,Diagonal / Augusta,0482 0482,Dimarts,2019,Ene,1,1,Noche,No es causa del peatón,0,0,1,1,1,429482.03,4583236.02,2.155235500887906,41.395744325388286
2019S000002,9,Sant Andreu,62,El Congrés i els Indians,102907,Felip II / CongriŠs Eucari­stic,9999 9999,Dimarts,2019,Ene,1,4,Noche,No es causa del peatón,0,1,0,1,2,431582.6,4586504.13,2.1799900375572765,41.42536054141721
2019S000003,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,242906,Pallars,0111 0113,Dimarts,2019,Ene,1,5,Noche,Cruzar fuera de paso peatonal,0,1,0,1,1,432532.56,4583333.82,2.191711612909555,41.39688727978747
2019S000004,6,Gràcia,32,el Camp d'en Grassot i Gracia Nova,228803,Taxdirt / NoguĂŠs,0054 0054,Dimarts,2019,Ene,1,8,Matutino,No es causa del peatón,0,1,0,1,2,430348.14,4584674.08,2.1654291811887534,41.40877189100564
2019S000005,2,Eixample,7,la Dreta de l'Eixample,89004,Consell de Cent / Girona,0395 0397,Dimarts,2019,Ene,1,12,Matutino,No es causa del peatón,0,2,0,2,1,430752.23,4583128.25,2.1704404950723446,41.394884229335005
2019S000006,6,Gràcia,32,el Camp d'en Grassot i Gracia Nova,90502,Còrsega,0461 0463,Dimarts,2019,Ene,1,7,Matutino,No es causa del peatón,0,1,0,1,2,430471.69,4583978.84,2.166987222352102,41.402520884569455
2019S000007,2,Eixample,7,la Dreta de l'Eixample,18505,Aragò / Balmes,0225 0225,Dimarts,2019,Ene,1,13,Matutino,No es causa del peatón,0,1,0,1,6,430023.71,4582612.51,2.161786583193777,41.39017602884647
2019S000008,2,Eixample,7,la Dreta de l'Eixample,222002,Mossen Jacint Verdaguer,9999 9999,Dimarts,2019,Ene,1,13,Matutino,No es causa del peatón,0,1,0,1,2,430706.56,4583594.99,2.1698407582411785,41.399084019498055
2019S000009,10,Sant Martí,67,La Vila Olímpica del Poblenou,700661,Joan Mirò / Doctor Trueta,0025 0025,Dimarts,2019,Ene,1,10,Matutino,No es causa del peatón,0,0,0,0,1,432673.27,4582713.36,2.1934637472779257,41.39131083446776
2019S000010,2,Eixample,5,el Fort Pienc,9209,Lepant / AlĂ­ Bei,0130 0130,Dimarts,2019,Ene,1,18,Tarde,No es causa del peatón,0,1,0,1,2,432039.23,4583376.8,2.1858060081451733,41.39723277922404
2019S000011,7,Horta-Guinardó,36,la Font d'en Fargues,194406,Maragall,0287 0287,Dimarts,2019,Ene,1,19,Tarde,No es causa del peatón,0,1,0,1,2,430869.43,4586653.04,2.171438986400508,41.426640558972494
