IdExpediente,Hora,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_Y,CoordenadaUTM_X
2011S000833,16,No es causa del peatón,Turismo,206,PEUGEOT,Blanc,B,9,4582403.96,429861.51
2011S000835,15,No es causa del peatón,Ciclomotor,CY50,YAMAHA,Negre,B,22,4582622.56,427510.22
2011S002871,0,No es causa del peatón,Turismo,318,BMW,Negre,B,7,4581715.55,430873.19
2011S000825,12,No es causa del peatón,Motocicleta,SH 100,HONDA,Verd,B,6,4584494.1,433383.68
2011S000830,14,No es causa del peatón,Ciclomotor,LIBERTY 50,PIAGGIO,Gris,B,2,4584520.48,428730.59
2011S000950,13,No es causa del peatón,Motocicleta,125,VESPA,Blau,Desconocido,Desconocido,4583139.14,428502.41
2011S002065,13,No es causa del peatón,Motocicleta,LIBERTY 125,PIAGGIO,Negre,B,5,4581955.18,429937.26
2011S000799,5,No es causa del peatón,Taxi,OCTAVIA,SKODA,Altres,BTP,5,4583918.61,426893.77
2011S000799,5,No es causa del peatón,Turismo,320,BMW,Negre,B,5,4583918.61,426893.77
2011S000801,5,No es causa del peatón,Ciclomotor,CS 50 Z,YAMAHA,Gris,Llicncia,5,4582920.02,429393.64
2011S002731,7,No es causa del peatón,Ciclomotor,LIBERTY 50,PIAGGIO,Gris,A1,1,4582861.84,430328.62
2011S002734,11,No es causa del peatón,Turismo,C4,CITROEN,Blau,B,24,4582917.91,430243.94
2011S001786,15,No es causa del peatón,"Camión > 3,5 Tm",370,RENAULT,Blanc,C,5,4588811.55,432782.05
2011S001791,19,No es causa del peatón,AutobŁs,O 405,MERCEDES-BENZ,Vermell,D,4,4582651.53,427951.34
2011S001921,19,No es causa del peatón,Ciclomotor,LOOXOR,PEUGEOT,Gris,Llicncia,Desconocido,4582119.92,430261.58
2011S001923,19,No es causa del peatón,Turismo,S60,VOLVO,Gris,B,19,4584156.89,430276.62
2011S002759,11,No es causa del peatón,Motocicleta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,4582566.74,428842
2011S002893,14,No es causa del peatón,Taxi,Desconocido,Desconocido,Groc,Desconocido,Desconocido,4582664.48,430127.5
2011S002897,17,No es causa del peatón,Ciclomotor,SH 100,HONDA,Desconocido,B,17,4582307.82,430275.3
2011S002891,14,No es causa del peatón,Furgoneta,BERLINGO,CITROEN,Blanc,B,9,4582497.49,427957.98
2011S000843,19,No es causa del peatón,Turismo,ASTRA,OPEL,Vermell,B,1,4584681.96,433342.29
2011S000970,5,No es causa del peatón,Turismo,KALOS,CHEVROLET,Blau,B,1,4581128.4,429170.58
2011S000804,5,No es causa del peatón,Ciclomotor,VITALITY,KYMCO,Negre,Llicncia,16,4583737.81,433339.5
2011S000946,13,No es causa del peatón,Turismo,307,PEUGEOT,Negre,B,14,4583168.17,430772.87
2011S000948,14,No es causa del peatón,Motocicleta,Transalp,HONDA,Altres,BTP,3,4581395.72,430621.41
2011S000950,13,No es causa del peatón,Turismo,ZAFIRA,OPEL,Gris,Desconocido,Desconocido,4583139.14,428502.41
2011S001081,18,No es causa del peatón,Furgoneta,308,MERCEDES,Groc,B,5,4584912.34,429134.38
2011S002206,7,No es causa del peatón,Furgoneta,BERLINGO,CITROEN,Verd,B,5,4584886.94,434861.82
2011S002211,10,No es causa del peatón,Turismo,ASTRA,OPEL,Gris,B,40,4584134.06,433345.46
2011S002324,19,No es causa del peatón,Turismo,LEON,SEAT,Blanc,B,Desconocido,4587702.93,430986.47
2011S002325,18,No es causa del peatón,Tractocamión,TG360,MAN,Blanc,E D,5,4582999.35,433378.04
2011S000839,16,No es causa del peatón,Turismo,IBIZA,SEAT,Blau,B,3,4585888.55,428210.43
2011S000975,11,No es causa del peatón,Motocicleta,CYGNUS 125,YAMAHA,Negre,A,28,4584726.97,430237.43
2011S000977,12,No es causa del peatón,Motocicleta,SH 125,HONDA,Gris,B,9,4582183.94,429632.76
2011S000982,16,No es causa del peatón,Turismo,45,ROVER,Blanc,B,15,4587005.7,432390.13
2011S001113,18,No es causa del peatón,Motocicleta,SH 125,HONDA,Negre,A1,6,4582664.17,428975.26
2011S001244,14,Cruzar fuera de paso peatonal,Motocicleta,Sport City,APRILIA,Negre,B,13,4582104.42,430183.49
2011S001245,13,No es causa del peatón,AutobŁs,Desconocido,SCANIA,Desconocido,D,2,4583663.55,430978.15
2011S001107,16,No es causa del peatón,Todo terreno,ML 320,MERCEDES,Beige,B,51,4582712.35,426783.86
2011S001238,11,No es causa del peatón,Ciclomotor,FISHT,PEUGEOT,Vermell,Desconocido,Desconocido,4583558.8,430785.21
2011S001243,14,No es causa del peatón,Turismo,ASTRA,OPEL,Blau,B,24,4583512.18,428772.25
2011S001385,9,No es causa del peatón,Turismo,C 250,MERCEDES,Negre,B,7,4585075.8,431587.31
2011S001386,12,No es causa del peatón,Ciclomotor,YQ50,YAMAHA,Blau,AM,1,4583809.36,429264.8
2011S001522,23,No es causa del peatón,Ciclomotor,STALKER,GILERA,Gris,B,4,4582183.94,429632.76
2011S001218,13,No es causa del peatón,Turismo,GOLF,VOLKSWAGEN,Gris,B,23,4582830.56,426964.13
2011S001219,17,No es causa del peatón,Bicicleta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,4583786.43,429898.89
2011S001350,22,No es causa del peatón,Ciclomotor,LUDIX,PEUGEOT,Blau,Llicncia,20,4587579.11,430302.38
2011S001352,12,No es causa del peatón,Motocicleta,SYMPHONY,SYM,Blanc,B,18,4583193.63,428566.56
2011S001353,13,No es causa del peatón,Motocicleta,SCOOPY 50,HONDA,Blanc,A,21,4582229.94,429978.34
2011S001489,16,No es causa del peatón,Ciclomotor,YH 50,YAMAHA,Negre,B,Desconocido,4586161.38,430870.1
2011S001091,8,No es causa del peatón,Ciclomotor,YN 50,YAMAHA,Negre,Llicncia,13,4586029.66,431075.65
2011S001094,8,No es causa del peatón,Turismo,205,PEUGEOT,Blanc,B,2,4588194.79,429590.68
2011S001223,14,No es causa del peatón,Turismo,CORDOBA,SEAT,Gris,B,24,4582050.68,429441.91
2011S001224,18,No es causa del peatón,Turismo,3008,PEUGEOT,Gris,B,4,4580298.21,428244.45
2011S001226,20,No es causa del peatón,Motocicleta,AN 250,SUZUKI,Gris,A,29,4584629.17,432098.83
2011S002330,21,No es causa del peatón,Turismo,XSARA,CITROEN,Vermell,B,9,4584797.28,431710.53
2011S002461,2,No es causa del peatón,Turismo,IBIZA,SEAT,Groc,B,2,4582245.25,430308.02
2011S002462,3,No es causa del peatón,Turismo,LANTRA,HYUNDAI,Gris,B,26,4584402.71,430715.87
2011S002466,10,No es causa del peatón,Motocicleta,SH 125,HONDA,Negre,A1,4,4584260.23,431528.42
2011S002597,16,No es causa del peatón,Motocicleta,SH 125,HONDA,Gris,B,24,4583316.51,429060.41
2011S002602,19,Cruzar fuera de paso peatonal,Motocicleta,RS 125,APRILIA,Negre,A1,3,4580643.02,430223.33
2011S002606,22,No es causa del peatón,Motocicleta,SCOOPY 100,HONDA,Blau,B,11,4583060.5,429728.84
2011S001382,8,No es causa del peatón,Motocicleta,PS 125,HONDA,Blanc,B,7,4583391.06,430127
2011S001513,17,No es causa del peatón,Motocicleta,AGILITY 125,KYMCO,Gris,B,6,4581247.67,425757.3
2011S001662,9,No es causa del peatón,Turismo,X-TRAIL,NISSAN,Gris,B,3,4580872.8,428832.19
2011S001492,20,No es causa del peatón,Motocicleta,PK75,VESPA,Negre,A1,5,4583417.13,431044.96
2011S001068,13,No es causa del peatón,Turismo,SEICENTO,FIAT,Blanc,B,30,4582510.91,428122.61
2011S002743,15,No es causa del peatón,"Camión <= 3,5 Tm",ATLEON 110,NISSAN,Blanc,C,5,4587950.92,429305.55
2011S002744,19,No es causa del peatón,Turismo,FOCUS,FORD,Blanc,B,1,4589426.73,432301.35
2011S002878,9,No es causa del peatón,Turismo,MONDEO,FORD,Gris,B,23,4583608.29,431599.81
2011S002879,10,No es causa del peatón,Turismo,307,PEUGEOT,Gris,B,29,4583081.93,431546.98
2011S002881,7,No es causa del peatón,Motocicleta,XT 600 E,YAMAHA,Vermell,A,2,4582083.33,425819.56
2011S000818,20,No es causa del peatón,Turismo,XSARA,CITROEN,Gris,B,3,4579800.03,427964.71
2011S001635,14,No es causa del peatón,Motocicleta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,4581847.73,429285.76
2011S001779,18,No es causa del peatón,Furgoneta,DOBLO,FIAT,Blanc,B,12,4583789.56,432414.29
2011S001783,13,No es causa del peatón,Furgoneta,SPRINTER,MERCEDES,Blanc,B,4,4581252.46,429296.7
2011S001806,11,No es causa del peatón,Motocicleta,SH 125,HONDA,Blanc,B,10,4581959.99,427176.07
2011S001806,11,No es causa del peatón,AutobŁs articulado,Desconocido,IVECO FIAT,Vermell,D,16,4581959.99,427176.07
2011S000822,11,No es causa del peatón,Furgoneta,TRANSIT,FORD,Blanc,B,27,4579833.03,428072.46
2011S000823,11,No es causa del peatón,Turismo,POLO,VOLKSWAGEN,Blau,B,12,4582917.75,429995.31
2011S000961,19,No es causa del peatón,Bicicleta,Desconocido,Desconocido,Altres,Desconocido,Desconocido,4583401.17,429716.35
2011S000962,20,Transitar a pie por calzada,Turismo,ASTRA,OPEL,Verd,B,1,4580990.33,427699.36
2011S001096,11,No es causa del peatón,Furgoneta,BOXER,PEUGEOT,Blanc,B,10,4585473.76,428022.17
2011S001097,13,No es causa del peatón,Motocicleta,CB 250 TWO FIFTY,HONDA,Negre,A,3,4577763.57,428123.24
2011S001102,14,No es causa del peatón,Motocicleta,SES 125,HONDA,Vermell,B,19,4584721.5,429992.77
2011S001916,17,No es causa del peatón,Motocicleta,BURGMAN,SUZUKI,Negre,B,5,4582275.04,426874.9
2011S001917,19,No es causa del peatón,Taxi,220,MERCEDES,Groc,BTP,31,4581813.93,431325.48
2011S001919,19,No es causa del peatón,Turismo,PASSAT,VOLKSWAGEN,Blau,B,31,4587061.55,430642.42
2011S002054,3,No es causa del peatón,Motocicleta,SH 125,HONDA,Negre,A1,6,4583267.16,427718.22
2011S001104,15,No es causa del peatón,Turismo,IBIZA,SEAT,Vermell,B,5,4584887.78,431530.16
2011S001229,8,No es causa del peatón,Turismo,PUNTO,FIAT,Vermell,B,4,4575669.88,427710.14
2011S001229,8,No es causa del peatón,Tractocamión,Desconocido,RENAULT,Vermell,E C,2,4575669.88,427710.14
2011S001233,11,No es causa del peatón,Motocicleta,SH 300,HONDA,Marr˘,A1,33,4583243.57,431229.09
2011S001233,11,No es causa del peatón,Furgoneta,206,PEUGEOT,Blanc,B,17,4583243.57,431229.09
2011S001237,11,No es causa del peatón,Turismo,CORSA,OPEL,Blanc,B,33,4583807.89,429043.34
2011S001367,20,No es causa del peatón,Ciclomotor,TYPHOON 50,PIAGGIO,Vermell,AM,Desconocido,4582344.58,430335.9
2011S001371,6,No es causa del peatón,Ciclomotor,SCOOPY 50,HONDA,Blanc,AM,9,4584927.5,429679.86
2011S001372,14,No es causa del peatón,Turismo,MAZDA 6,MAZDA,Gris,Desconocido,22,4581250.98,429218.31
2011S002849,12,No es causa del peatón,Motocicleta,PHANTEON,HONDA,Negre,A,24,4582782.46,431545.14
2011S002850,11,No es causa del peatón,Turismo,CORSA,OPEL,Gris,B,28,4583674.95,430575.59
2011S001507,14,No es causa del peatón,Tractocamión,Desconocido,IVECO FIAT,Blanc,C,2,4580625.8,431209.99
2011S001656,20,No es causa del peatón,Furgoneta,KANGOO,RENAULT,Blanc,Desconocido,Desconocido,4581250.98,429218.31
2011S001796,8,No es causa del peatón,Furgoneta,VITO,MERCEDES,Blanc,B,40,4588871.49,433401.74
2011S002361,19,No es causa del peatón,Motocicleta,MAJESTY,YAMAHA,Gris,B,18,4587419.67,428739.06
2011S002364,7,No es causa del peatón,Motocicleta,XCITY,YAMAHA,Negre,A,20,4582978.41,430958.58
2011S000878,5,No es causa del peatón,Turismo,COUPE,HYUNDAI,Negre,Desconocido,Desconocido,4584012.23,431639.22
2011S000878,5,No es causa del peatón,Turismo,Gran Scenic,RENAULT,Marr˘,B,16,4584012.23,431639.22
2011S001010,9,No es causa del peatón,Motocicleta,LIKE 125,KYMCO,Vermell,A1,2,4582511.01,430077.06
2011S001012,12,No es causa del peatón,Furgoneta,VITO,MERCEDES,Blanc,B,Desconocido,4584966.61,432563.85
2011S001012,12,No es causa del peatón,Taxi,Desconocido,Desconocido,Groc,Desconocido,Desconocido,4584966.61,432563.85
2011S001016,16,No es causa del peatón,Turismo,IBIZA,SEAT,Gris,B,7,4584340.65,429060.97
2011S001017,18,No es causa del peatón,Motocicleta,SCOOPY 100,HONDA,Negre,A1,17,4583687.36,427142.3
2011S001144,16,No es causa del peatón,Turismo,XSARA PICASSO,CITROEN,Blanc,Desconocido,Desconocido,4580892.36,431214.13
2011S001579,15,No es causa del peatón,Motocicleta,IRIS 200,VESPA,Blanc,A,27,4583561.52,427631.9
2011S001579,15,No es causa del peatón,Motocicleta,XC 125,YAMAHA,Vermell,B,8,4583561.52,427631.9
