IdExpediente,Hora,Turno,Causa_de_Accidente,CoordenadaUTM_Y,CoordenadaUTM_X
2011S006646,11,Matutino,No hay causa mediata,4585343.3,432115.94
2011S003333,13,Matutino,No hay causa mediata,4585145.1,431990.72
2011S006833,19,Tarde,No hay causa mediata,4585458.06,431634.78
2011S002662,21,Tarde,No hay causa mediata,4585470.2,431646.49
2011S008311,16,Tarde,No hay causa mediata,4585253.1,431538.01
2011S000334,12,Matutino,No hay causa mediata,4585302.06,431614.01
2011S003205,9,Matutino,No hay causa mediata,4585066.89,431385.82
2011S005692,17,Tarde,No hay causa mediata,4585413.39,431717.4
2011S005577,22,Noche,No hay causa mediata,4585097.59,431609.73
2011S006482,14,Tarde,No hay causa mediata,4584973.5,431574.71
2011S008628,8,Matutino,No hay causa mediata,4585001.84,431602.87
2011S005435,16,Tarde,No hay causa mediata,4585024.93,431613.73
2011S008791,4,Noche,No hay causa mediata,4584656.77,431934.94
2011S004218,15,Tarde,No hay causa mediata,4584712.78,431652.92
2011S006815,13,Matutino,No hay causa mediata,4584545.45,431816.61
2011S001828,9,Matutino,No hay causa mediata,4584545.45,431816.61
2011S007775,21,Tarde,No hay causa mediata,4584489.3,431794.83
2011S006967,20,Tarde,No hay causa mediata,4584637.51,432097.42
2011S001625,9,Matutino,No hay causa mediata,4584810.5,431930.44
2011S006441,14,Tarde,No hay causa mediata,4584555.67,432060.89
2011S007130,17,Tarde,No hay causa mediata,4584478.92,432206.17
2011S007033,22,Noche,Exceso de velocidad o inadecuada,4584523.37,432105.14
2011S008096,6,Matutino,No hay causa mediata,4584453.64,431960.1
2011S001588,20,Tarde,No hay causa mediata,4584181.5,432172.41
2011S002088,15,Tarde,No hay causa mediata,4584197.87,432229.7
2011S007723,22,Noche,No hay causa mediata,4585404.02,432727.65
2011S008624,0,Noche,No hay causa mediata,4585306.82,432754.98
2011S004068,15,Tarde,No hay causa mediata,4585620.33,432917.15
2011S003311,18,Tarde,No hay causa mediata,4585044.47,432863.88
2011S002444,13,Matutino,No hay causa mediata,4585942.11,433110.24
2011S007915,17,Tarde,No hay causa mediata,4585514.34,432844.22
2011S007397,9,Matutino,No hay causa mediata,4584382.45,432104.13
2011S006920,9,Matutino,No hay causa mediata,4584467.51,431964.93
2011S008119,13,Matutino,No hay causa mediata,4585214.2,432663.12
2011S002634,22,Noche,No hay causa mediata,4585157.8,432621.66
2011S001012,12,Matutino,No hay causa mediata,4584966.61,432563.85
2011S001252,21,Tarde,No hay causa mediata,4585166.49,432690.49
2011S008432,18,Tarde,No hay causa mediata,4585062.88,432380.82
2011S006945,18,Tarde,No hay causa mediata,4585067.53,432653.4
2011S007655,13,Matutino,No hay causa mediata,4584972.8,432064.5
2011S001526,2,Noche,No hay causa mediata,4584830.37,432108.08
2011S001007,7,Matutino,No hay causa mediata,4584650.8,432099.6
2011S006318,20,Tarde,No hay causa mediata,4585282.29,434685.66
2011S005340,12,Matutino,No hay causa mediata,4585187.55,434623.12
2011S003275,4,Noche,Alcoholemia,4586184.13,433651.4
2011S002982,19,Tarde,No hay causa mediata,4585983.99,433845.7
2011S007826,15,Tarde,No hay causa mediata,4585737.92,433644.95
2011S001609,14,Tarde,No hay causa mediata,4585761.24,433668.38
2011S007378,12,Matutino,No hay causa mediata,4585782.86,433696.83
2011S001260,8,Matutino,No hay causa mediata,4585765.46,433303.26
2011S001100,14,Tarde,No hay causa mediata,4585935.39,433807
2011S002959,18,Tarde,No hay causa mediata,4586590.87,433345.31
2011S005230,20,Tarde,No hay causa mediata,4586412.15,433245.27
2011S007555,12,Matutino,No hay causa mediata,4585845.09,433400
2011S006206,11,Matutino,No hay causa mediata,4585781.85,433466.75
2011S003140,9,Matutino,No hay causa mediata,4586540.36,433216.08
2011S008495,13,Matutino,No hay causa mediata,4586836.1,433275.83
2011S007441,20,Tarde,No hay causa mediata,4586125.85,433150.72
2011S005866,9,Matutino,Calle en mal estado,4585982.03,433453.05
2011S003246,15,Tarde,No hay causa mediata,4585827.78,433367.4
2011S006487,16,Tarde,No hay causa mediata,4585641.92,433116.81
2011S008338,11,Matutino,No hay causa mediata,4584864.05,433909.26
2011S007742,16,Tarde,No hay causa mediata,4585010.57,433647.52
2011S007817,2,Noche,Alcoholemia,4583184.71,433292.45
2011S007400,12,Matutino,No hay causa mediata,4583548.62,433775.91
2011S006637,4,Noche,Exceso de velocidad o inadecuada,4583107.7,433585.43
2011S005110,3,Noche,No hay causa mediata,4583766.93,433147.77
2011S000710,21,Tarde,No hay causa mediata,4584793.46,433059.05
2011S002632,21,Tarde,No hay causa mediata,4584900.4,433155.6
2011S000932,8,Matutino,No hay causa mediata,4585220.45,433732.91
2011S003551,17,Tarde,No hay causa mediata,4585249.15,433366.47
2011S006827,18,Tarde,No hay causa mediata,4585389.78,433509.45
2011S000680,21,Tarde,No hay causa mediata,4584971.32,433081.94
2011S006584,5,Noche,No hay causa mediata,4584971.32,433081.94
2011S006127,5,Noche,No hay causa mediata,4585620.58,433950.39
2011S002153,8,Matutino,No hay causa mediata,4584947.83,433154.22
2011S005018,16,Tarde,No hay causa mediata,4585528.47,433810.6
2011S008704,11,Matutino,No hay causa mediata,4585505.53,433687.93
2011S001354,14,Tarde,No hay causa mediata,4584263.02,432701.88
2011S004124,18,Tarde,No hay causa mediata,4584481.55,432576.29
2011S002478,11,Matutino,No hay causa mediata,4583912.63,433940.45
