IdExpediente,Hora,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_Y,CoordenadaUTM_X
2014S004647,19,Desobedecer Semáforo,Motocicleta,SYMPHONY,SYM,Vermell,B,27,4587874.47,432334.95
2014S002893,7,No es causa del peatón,Turismo,FOCUS,FORD,Blau,B,3,4589217.29,431838.06
2014S002894,9,No es causa del peatón,Taxi,TOLEDO,SEAT,Negre/Groc,BTP,20,4582174.58,430249.34
2014S000477,15,No es causa del peatón,Turismo,MINI COOPER,MINI,Negre,B,9,4584827.03,433077.4
2014S000478,15,Desobedecer Semáforo,Furgoneta,BERLINGO,CITROEN,Blanc,B,11,4583068.63,430539.22
2014S000628,14,No es causa del peatón,Taxi,OCTAVIA,SKODA,Desconocido,BTP,12,4583114.62,432156.97
2014S000631,15,No es causa del peatón,Turismo,TERRANO,NISSAN,Blanc,B,48,4582832.64,430673.11
2014S003118,13,No es causa del peatón,Ciclomotor,YQ50,YAMAHA,Blau,B,1,4587522.79,429053.86
2014S003253,3,No es causa del peatón,Motocicleta,VESPA,PIAGGIO,Blanc,B,6,4582771.24,426975.14
2014S003256,7,No es causa del peatón,Furgoneta,PRIMASTAR,NISSAN,Blanc,B,36,4583351.83,431340.47
2014S003257,10,No es causa del peatón,Turismo,POLO,VOLKSWAGEN,Vermell,B,5,4585749.97,431235.13
2014S003396,23,No es causa del peatón,Motocicleta,SH 125,HONDA,Blanc,B,4,4584179.69,434599.95
2014S004364,16,No es causa del peatón,Turismo,KUGA,FORD,Blanc,Desconocido,Desconocido,4583118.17,433078.07
2014S004497,11,No es causa del peatón,Furgoneta,BERLINGO,CITROEN,Blanc,B,5,4584771.43,433092.38
2014S004503,16,No es causa del peatón,Furgoneta,TRANSIT,FORD,Blanc,B,42,4578480.46,428496.64
2014S002435,16,No es causa del peatón,Turismo,RANGE ROVER,LAND ROVER,Blanc,B,1,4583734.17,431829.73
2014S002435,16,No es causa del peatón,Motocicleta,Gladius 650,SUZUKI,Blanc,A2,1,4583734.17,431829.73
2014S002437,16,No es causa del peatón,Motocicleta,SH 125,HONDA,Negre,B,18,4583752.58,428450.44
2014S003153,16,No es causa del peatón,Turismo,CRV,HONDA,Verd,B,31,4584384.64,428974.92
2014S003156,15,No es causa del peatón,Furgoneta,VIVARO,OPEL,Desconocido,B,20,4586101.26,429664.15
2014S003283,8,No es causa del peatón,Turismo,IBIZA,SEAT,Vermell,B,3,4582592.26,430053.38
2014S003286,11,No es causa del peatón,Motocicleta,125,SUZUKI,Gris,A1,3,4584444.96,428780.16
2014S003291,13,No es causa del peatón,Motocicleta,LIBERTY 125,PIAGGIO,Negre,B,12,4582270.67,425327.79
2014S003429,20,No es causa del peatón,Turismo,GOLF,VOLKSWAGEN,Blau,B,26,4583635.47,425957.43
2014S003430,19,Desobedecer Semáforo,Bicicleta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,4583089.45,429979.46
2014S000909,11,No es causa del peatón,Turismo,VANEO,MERCEDES,Gris,B,8,4582373.16,429125.9
2014S001045,21,No es causa del peatón,Furgoneta,Desconocido,Desconocido,Vermell,Desconocido,Desconocido,4588512.71,432185.43
2014S005420,21,No es causa del peatón,Motocicleta,ER-6N,KAWASAKI,Taronja,A,6,4581256.12,428685.59
2014S005425,10,No es causa del peatón,Furgoneta,313 CDI,MERCEDES,Blanc,B,27,4581907.05,429888.32
2014S005556,22,No es causa del peatón,Motocicleta,LIBERTY 125,PIAGGIO,Blau,A1,11,4582949.75,430372.95
2014S005558,22,No es causa del peatón,Turismo,PRIUS,TOYOTA,Gris,B,9,4582373.27,429645.11
2014S000020,6,No es causa del peatón,Motocicleta,CYGNUS 125,YAMAHA,Negre,B,27,4584769.89,431277.92
2014S000021,10,No es causa del peatón,Turismo,GOLF,VOLKSWAGEN,Vermell,B,21,4579738.83,427770.71
2014S004223,14,No es causa del peatón,Turismo,X-TYPE,JAGUAR,Altres,B,52,4581830.33,425387.61
2014S004223,14,No es causa del peatón,Turismo,206,PEUGEOT,Altres,B,4,4581830.33,425387.61
2014S004224,17,No es causa del peatón,Turismo,A4,AUDI,Negre,B,9,4585756.57,433302.68
2014S004228,0,No es causa del peatón,Motocicleta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,4581218.47,431170.35
2014S004228,0,No es causa del peatón,Bicicleta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,4581218.47,431170.35
2014S004372,20,No es causa del peatón,Motocicleta,VESPA,PIAGGIO,Verd,A,22,4584101.25,430263.03
2014S004372,20,No es causa del peatón,Motocicleta,SV 125,DAELIM,Negre,B,14,4584101.25,430263.03
