IdExpediente,Hora,Turno,Tipo_Accidente,CoordenadaUTM_Y,CoordenadaUTM_X
2012S005688,16,Tarde,Colisión frontal-lateral,4585382.72,432116.48
2012S002763,15,Tarde,Colisión Lateral,4585404.32,431598.8
2012S007349,9,Matutino,Alcance,4585406.24,431594.76
2012S003847,12,Matutino,Alcance múltiple,4585002.66,431325.76
2012S009254,9,Matutino,Colisión frontal-lateral,4584964.87,431585.78
2012S000046,13,Matutino,Caida (dos ruedas),4584895.32,431616.88
2012S000746,12,Matutino,Choque vs objeto estático,4584843.57,431794.53
2012S006222,15,Tarde,Colisión Lateral,4584558.04,431675.33
2012S004425,12,Matutino,Colisión Lateral,4584558.04,431675.33
2012S003295,12,Matutino,Colisión Lateral,4584545.45,431816.61
2012S009046,14,Tarde,Colisión Lateral,4584637.51,432097.42
2012S006092,8,Matutino,Colisión Lateral,4584629.17,432098.83
2012S003516,18,Tarde,Colisión frontal-lateral,4584629.17,432098.83
2012S005656,1,Noche,Choque vs objeto estático,4585003.93,431931.19
2012S004302,17,Tarde,Alcance,4584425.42,432081.14
2012S000371,20,Tarde,Colisión Lateral,4584443.28,432099.2
2012S005350,9,Matutino,Caida (dos ruedas),4584298.16,431950.29
2012S003272,17,Tarde,Caida (dos ruedas),4584298.16,431950.29
2012S003272,17,Tarde,Alcance,4584298.16,431950.29
2012S005277,17,Tarde,Colisión Lateral,4584181.5,432172.41
2012S005218,15,Tarde,Alcance,4584197.87,432229.7
2012S001691,23,Noche,Colisión Lateral,4584292.69,432154.54
2012S002926,16,Tarde,Colisión frontal-lateral,4585439.4,433218.48
2012S000889,22,Noche,Colisión Lateral,4585404.02,432727.65
2012S007542,13,Matutino,Colisión Frontal,4585158.95,433051.64
2012S006725,6,Matutino,Colisión Lateral,4584367.22,431862.51
2012S002406,14,Tarde,Caida (dos ruedas),4584367.22,431862.51
2012S000445,14,Tarde,Colisión Lateral,4584547.74,432060.8
2012S003851,14,Tarde,Colisión frontal-lateral,4585102.37,432385.75
2012S001233,6,Matutino,Alcance,4585139.85,432237.35
2012S001700,11,Matutino,Alcance,4585113.98,432163.61
2012S002091,19,Tarde,Alcance,4585132.63,432163.69
2012S006231,22,Noche,Alcance,4585179.51,432169.3
2012S001255,18,Tarde,Choque vs objeto estático,4585136.41,432399.82
2012S003508,12,Matutino,Colisión frontal-lateral,4585211.1,432341.84
2012S001720,18,Tarde,Choque vs objeto estático,4584775.35,432499.23
2012S002252,10,Matutino,Alcance,4584935.78,432561.88
2012S007826,8,Matutino,Colisión Lateral,4584477.06,432515.37
2012S008018,12,Matutino,Alcance,4584655.85,432106.39
2012S004216,8,Matutino,Alcance,4584685.29,432106.63
2012S008746,23,Noche,Colisión frontal-lateral,4584830.37,432108.08
2012S001742,13,Matutino,Atropellamiento,4586430.73,433983.96
2012S004608,16,Tarde,Alcance,4585113.04,434696.59
2012S003983,6,Matutino,Otras,4586186.02,434080.05
2012S000544,18,Tarde,Choque vs objeto estático,4584967.56,434848.85
2012S007959,6,Matutino,Atropellamiento,4586184.13,433651.4
2012S003461,19,Tarde,Atropellamiento,4585919.18,433936.89
2012S000031,19,Tarde,Colisión Lateral,4585898.52,433379.49
2012S001579,14,Tarde,Alcance,4585932.73,433414.97
2012S003684,20,Tarde,Caida (dos ruedas),4586227.86,433396.53
2012S000558,10,Matutino,Atropellamiento,4586369.27,433527.62
2012S004478,19,Tarde,Atropellamiento,4586441.87,433398.07
2012S006478,11,Matutino,Alcance,4586092.51,433578.31
2012S005090,9,Matutino,Colisión frontal-lateral,4586544.65,433319.33
2012S002427,10,Matutino,Colisión Frontal,4585020.79,433646.61
2012S003028,8,Matutino,Colisión Frontal,4585020.79,433646.61
2012S007348,8,Matutino,Choque vs objeto estático,4585089.43,434505.27
2012S006493,10,Matutino,Atropellamiento,4585152.29,434571.63
2012S006562,13,Matutino,Colisión frontal-lateral,4585877.1,434007.45
2012S000767,23,Noche,Otras,4585946.2,434078.33
2012S001513,12,Matutino,Alcance,4583410.32,432935.05
2012S006365,18,Tarde,Alcance,4583588.68,432950.62
2012S005042,18,Tarde,Vuelco (de dos ruedas),4583311.72,432897.25
2012S003015,19,Tarde,Colisión Lateral,4583631.01,433272.98
2012S005997,21,Tarde,Otras,4582845.3,433507.61
2012S006344,13,Matutino,Colisión Lateral,4584432.53,433309.2
2012S006872,18,Tarde,Atropellamiento,4585249.27,433524.6
2012S006902,14,Tarde,Colisión Lateral,4585249.15,433366.47
2012S008042,8,Matutino,Alcance,4584827.03,433077.4
2012S002204,16,Tarde,Colisión Lateral,4584861.28,433173.63
2012S007183,7,Matutino,Otras,4584961.99,433176.36
2012S007453,15,Tarde,Colisión Lateral,4584901.86,433010.8
2012S009147,15,Tarde,Colisión frontal-lateral,4584971.32,433081.94
2012S002383,13,Matutino,Caída interior vehículo,4584688.96,433407.28
2012S001240,23,Noche,Colisión frontal-lateral,4584879.5,433221.32
2012S005267,9,Matutino,Alcance,4585808.01,433936.57
2012S004882,8,Matutino,Alcance,4584994.55,433633.04
2012S007766,9,Matutino,Colisión frontal-lateral,4584691.03,432792.39
2012S009150,8,Matutino,Colisión frontal-lateral,4584492.99,433364.81
2012S008093,18,Tarde,Colisión Lateral,4584681.79,434168.06
2012S008887,20,Tarde,Caída interior vehículo,4584716.02,434105.77
2012S006004,12,Matutino,Colisión Lateral,4584295.41,433755.45
2012S003245,14,Tarde,Alcance,4584494.02,433721.71
2012S002302,20,Tarde,Colisión Lateral,4584509.05,434100.27
2012S003955,22,Noche,Colisión frontal-lateral,4584509.05,434100.27
2012S005310,20,Tarde,Colisión Lateral,4584135.71,433962.72
2012S003812,13,Matutino,Colisión Lateral,4584948.24,434232.69
2012S005794,9,Matutino,Alcance múltiple,4583729.85,433760.76
2012S005721,15,Tarde,Choque vs objeto estático,4583933.56,433205.18
2012S004139,6,Matutino,Vuelco (de dos ruedas),4584171.68,433317.46
2012S005611,12,Matutino,Colisión frontal-lateral,4584062.14,433066.67
2012S003582,15,Tarde,Alcance,4583102.38,433705.19
2012S003807,6,Matutino,Colisión frontal-lateral,4582963.81,433557.81
2012S000981,8,Matutino,Colisión Lateral,4583265.73,433827.82
2012S005488,16,Tarde,Alcance múltiple,4583048.37,433616.67
