IdExpediente,Hora,Turno,Causa_de_Accidente,CoordenadaUTM_Y,CoordenadaUTM_X
2010S006971,20,Tarde,No hay causa mediata,4585401.48,431940.75
2010S000574,7,Matutino,No hay causa mediata,4585157.93,431472.27
2010S004580,20,Tarde,No hay causa mediata,4585028.7,431347.82
2010S002999,7,Matutino,No hay causa mediata,4585103.11,431274.19
2010S007227,9,Matutino,No hay causa mediata,4584800.79,431491.51
2010S001419,14,Tarde,No hay causa mediata,4584746.01,431490.22
2010S003154,19,Tarde,No hay causa mediata,4584964.87,431585.78
2010S009049,6,Matutino,No hay causa mediata,4584656.77,431934.94
2010S008282,6,Matutino,No hay causa mediata,4584633.9,432100.43
2010S002715,14,Tarde,No hay causa mediata,4584637.51,432097.42
2010S006647,11,Matutino,No hay causa mediata,4584637.51,432097.42
2010S006890,14,Tarde,No hay causa mediata,4584629.17,432098.83
2010S001481,16,Tarde,No hay causa mediata,4584443.28,432099.2
2010S001378,7,Matutino,No hay causa mediata,4584453.64,431960.1
2010S001689,11,Matutino,No hay causa mediata,4584197.87,432229.7
2010S007800,15,Tarde,No hay causa mediata,4585137.77,433117.92
2010S000573,9,Matutino,No hay causa mediata,4585211.71,433229.48
2010S005258,23,Noche,No hay causa mediata,4584994.88,432912.53
2010S000803,10,Matutino,No hay causa mediata,4585302.57,432829.43
2010S003179,15,Tarde,No hay causa mediata,4585278.44,432942.92
2010S004901,12,Matutino,No hay causa mediata,4585862.62,433330.95
2010S004493,20,Tarde,No hay causa mediata,4585881.12,433169.99
2010S001613,13,Matutino,No hay causa mediata,4585230.06,432171.99
2010S004584,21,Tarde,No hay causa mediata,4585048.23,432828.96
2010S003786,16,Tarde,No hay causa mediata,4585324.12,432483.01
2010S008313,12,Matutino,No hay causa mediata,4585056.86,432493
2010S003046,2,Noche,No hay causa mediata,4585237.54,432569.54
2010S007225,10,Matutino,No hay causa mediata,4584880.71,432616.05
2010S003746,11,Matutino,No hay causa mediata,4584477.06,432515.37
2010S001909,9,Matutino,No hay causa mediata,4584863.9,432108.57
2010S003733,17,Tarde,No hay causa mediata,4585012.86,432102.65
2010S008209,9,Matutino,No hay causa mediata,4585174.61,434651.99
2010S006502,5,Noche,No hay causa mediata,4584955.31,434910.04
2010S002892,9,Matutino,No hay causa mediata,4584731.2,435017.2
2010S008321,17,Tarde,Alcoholemia,4586231.7,433780.56
2010S000138,14,Tarde,No hay causa mediata,4585737.92,433644.95
2010S001255,20,Tarde,No hay causa mediata,4585831.77,433864.4
2010S005010,22,Noche,Alcoholemia,4585935.39,433807
2010S000503,21,Tarde,Calle en mal estado,4586671.61,433358.94
2010S002116,18,Tarde,Calle en mal estado,4586875.02,433490.77
2010S005534,18,Tarde,No hay causa mediata,4586125.85,433150.72
2010S007895,9,Matutino,No hay causa mediata,4586463.09,432921.39
2010S001195,19,Tarde,No hay causa mediata,4586347.21,433207.52
2010S005696,0,Noche,Alcoholemia,4586091.31,433636.23
2010S008694,7,Matutino,No hay causa mediata,4586019.14,433503.22
2010S007128,21,Tarde,No hay causa mediata,4586516.86,433325.06
2010S007758,14,Tarde,No hay causa mediata,4586544.65,433319.33
2010S001530,15,Tarde,No hay causa mediata,4586300.49,433123.02
2010S006206,14,Tarde,No hay causa mediata,4585982.03,433453.05
2010S004495,7,Matutino,No hay causa mediata,4585827.78,433367.4
2010S003335,23,Noche,No hay causa mediata,4585479.23,433345.89
2010S006954,7,Matutino,No hay causa mediata,4585691.86,433358.8
2010S003100,20,Tarde,No hay causa mediata,4585123.31,434585.49
2010S000900,17,Tarde,No hay causa mediata,4584886.01,434467.95
2010S007572,19,Tarde,No hay causa mediata,4584637,433826.87
2010S009000,16,Tarde,Drogas o medicamentos,4584606.68,433507.19
2010S004364,18,Tarde,No hay causa mediata,4585464.63,434139.11
2010S001856,15,Tarde,No hay causa mediata,4585392.63,434177.88
2010S006629,16,Tarde,No hay causa mediata,4585432.88,434169.69
2010S006210,15,Tarde,No hay causa mediata,4583118.17,433078.07
2010S001193,19,Tarde,Calle en mal estado,4583545.33,433332.62
2010S008801,7,Matutino,No hay causa mediata,4583314.3,433668.11
2010S004944,19,Tarde,No hay causa mediata,4583504.13,433819.81
2010S007238,14,Tarde,No hay causa mediata,4583498.16,433067.96
2010S005698,6,Matutino,No hay causa mediata,4583631.01,433272.98
2010S005875,13,Matutino,No hay causa mediata,4583607.74,433766.1
2010S006061,8,Matutino,No hay causa mediata,4582953.45,433480.42
2010S005542,12,Matutino,No hay causa mediata,4585249.15,433366.47
2010S001490,13,Matutino,No hay causa mediata,4584803,433117.47
2010S002670,22,Noche,No hay causa mediata,4584620.76,432719.59
2010S002903,12,Matutino,No hay causa mediata,4584678.27,433980.76
2010S000609,18,Tarde,No hay causa mediata,4584101.11,433747.17
2010S007024,22,Noche,No hay causa mediata,4584509.05,434100.27
2010S003571,19,Tarde,No hay causa mediata,4583790.88,433852.66
2010S006730,17,Tarde,No hay causa mediata,4583746.63,433739.38
2010S005987,16,Tarde,No hay causa mediata,4584274.29,433200.46
2010S005472,15,Tarde,No hay causa mediata,4584050.49,433053.14
2010S000308,8,Matutino,No hay causa mediata,4584338.64,433511.15
2010S004308,18,Tarde,No hay causa mediata,4582893.36,433485.25
2010S007275,15,Tarde,No hay causa mediata,4582986.31,433600.12
2010S003745,12,Matutino,Calle en mal estado,4583265.73,433827.82
2010S004191,8,Matutino,No hay causa mediata,4583199.54,433777.75
2010S005701,13,Matutino,No hay causa mediata,4583279.81,432285.14
2010S001312,22,Noche,No hay causa mediata,4583704.2,432154.31
2010S003313,4,Noche,No hay causa mediata,4583424.66,432435.89
2010S006955,7,Matutino,No hay causa mediata,4583136.58,432299.56
2010S000702,15,Tarde,No hay causa mediata,4583005.71,432565.15
2010S005811,12,Matutino,No hay causa mediata,4582960.02,432298.46
2010S000825,19,Tarde,No hay causa mediata,4582799.18,431820.49
2010S005830,18,Tarde,No hay causa mediata,4582903.77,433109.94
2010S005341,17,Tarde,No hay causa mediata,4582673.63,432011.18
2010S001583,8,Matutino,No hay causa mediata,4583066.67,432493.47
2010S006568,16,Tarde,No hay causa mediata,4583022.74,432053.1
2010S003065,19,Tarde,No hay causa mediata,4582757.84,432498.15
2010S000520,13,Matutino,No hay causa mediata,4582825.29,432432.93
2010S000685,11,Matutino,No hay causa mediata,4582825.29,432432.93
2010S006789,15,Tarde,No hay causa mediata,4582984.87,432012.46
2010S001526,12,Matutino,No hay causa mediata,4582764.14,432289.09
2010S008117,17,Tarde,No hay causa mediata,4583407.86,432225.16
2010S008032,10,Matutino,No hay causa mediata,4584205.8,432294.33
2010S006107,7,Matutino,Alcoholemia,4583684.2,432301.65
2010S008492,1,Noche,No hay causa mediata,4583684.2,432301.65
2010S001899,21,Tarde,No hay causa mediata,4583823.22,434241.83
