IdExpediente,Hora,Turno,Causa_de_Accidente,CoordenadaUTM_Y,CoordenadaUTM_X
2013S005528,13,Matutino,No hay causa mediata,4582044.87,429487.34
2013S000220,19,Tarde,No hay causa mediata,4582050.42,429461.94
2013S003406,12,Matutino,No hay causa mediata,4582708,429546.74
2013S005708,14,Tarde,No hay causa mediata,4583161.88,429423.34
2013S000070,15,Tarde,No hay causa mediata,4583101.68,429239.17
2013S001089,14,Tarde,No hay causa mediata,4581493.34,429014.51
2013S003297,20,Tarde,No hay causa mediata,4582978.24,430188.51
2013S006315,9,Matutino,No hay causa mediata,4583039.38,430279.7
2013S006324,15,Tarde,No hay causa mediata,4582836.31,430055.9
2013S002192,6,Matutino,No hay causa mediata,4582931.95,429957.08
2013S006749,5,Noche,No hay causa mediata,4582909.18,429934.77
2013S006067,0,Noche,No hay causa mediata,4582460.28,430451.2
2013S003363,13,Matutino,No hay causa mediata,4583344.66,429984.33
2013S004829,16,Tarde,No hay causa mediata,4583368.53,429899.94
2013S002170,19,Tarde,No hay causa mediata,4583231.24,429956.75
2013S005617,12,Matutino,No hay causa mediata,4583231.24,429956.75
2013S007866,19,Tarde,No hay causa mediata,4583479.19,430063.55
2013S007521,20,Tarde,No hay causa mediata,4584109.55,431564.25
2013S008451,15,Tarde,No hay causa mediata,4583317.43,429831.27
2013S008406,19,Tarde,No hay causa mediata,4583317.43,429831.27
2013S003395,20,Tarde,No hay causa mediata,4583317.43,429831.27
2013S003278,10,Matutino,No hay causa mediata,4583317.43,429831.27
2013S002044,8,Matutino,No hay causa mediata,4583346.4,430007.38
2013S008587,16,Tarde,No hay causa mediata,4583404.54,429950.84
2013S000652,17,Tarde,No hay causa mediata,4583353.85,430023.88
2013S002104,15,Tarde,No hay causa mediata,4583917.29,431591.86
2013S000847,9,Matutino,No hay causa mediata,4584012.23,431639.22
2013S008062,11,Matutino,No hay causa mediata,4584095.28,431394.58
2013S006402,12,Matutino,No hay causa mediata,4584211.38,431282.35
2013S002144,13,Matutino,No hay causa mediata,4584528.29,431453.12
2013S003662,10,Matutino,No hay causa mediata,4584306.46,431383.83
2013S000900,12,Matutino,No hay causa mediata,4584040.14,431984.8
2013S000967,18,Tarde,No hay causa mediata,4584108.54,432025.71
2013S002974,13,Matutino,No hay causa mediata,4583195.87,429526.89
2013S002087,10,Matutino,No hay causa mediata,4583191.22,429512.9
2013S001687,7,Matutino,No hay causa mediata,4584374.43,431619.01
2013S006833,9,Matutino,No hay causa mediata,4584158.29,431807.15
2013S000698,8,Matutino,No hay causa mediata,4584488.55,431372.84
2013S007008,18,Tarde,No hay causa mediata,4583121.06,429789.41
2013S003131,16,Tarde,No hay causa mediata,4583871.82,431387.39
2013S007372,13,Matutino,No hay causa mediata,4582396.71,430233.49
2013S002591,10,Matutino,No hay causa mediata,4583077.31,430157.92
2013S004727,14,Tarde,No hay causa mediata,4583164.46,430247.01
2013S008336,12,Matutino,No hay causa mediata,4583111.26,430161.33
2013S006583,7,Matutino,No hay causa mediata,4582611.7,430024.47
2013S005624,14,Tarde,No hay causa mediata,4582932.76,430144.52
