IdExpediente,Hora,Turno,Tipo_Accidente,CoordenadaUTM_Y,CoordenadaUTM_X
2015S000215,21,Tarde,Colisión frontal-lateral,4585294.89,432013.22
2015S000787,4,Noche,Choque vs objeto estático,4585194.82,431644.10
2015S000390,0,Noche,Choque vs objeto estático,4585157.93,431472.27
2015S007294,14,Tarde,Caida (dos ruedas),4585204.89,431517.12
2015S009836,7,Matutino,Colisión Lateral,4585434.72,431625.93
2015S009453,17,Tarde,Atropellamiento,4585067.59,431235.61
2015S007312,10,Matutino,Alcance,4584892.85,431407.84
2015S004660,10,Matutino,Colisión frontal-lateral,4584895.32,431616.88
2015S006407,12,Matutino,Atropellamiento,4584823.85,431532.56
2015S009834,1,Noche,Alcance múltiple,4584683.83,431770.40
2015S002735,15,Tarde,Atropellamiento,4584713.40,431797.92
2015S000784,21,Tarde,Colisión Lateral,4584742.30,432020.48
2015S003464,12,Matutino,Colisión Lateral,4584802.38,432081.62
2015S001064,13,Matutino,Colisión Lateral,4584629.17,432098.83
2015S006090,22,Noche,Colisión Lateral,4584485.96,431928.74
2015S002841,18,Tarde,Atropellamiento,4584890.07,431979.96
2015S006350,10,Matutino,Alcance,4584523.33,432562.44
2015S002520,11,Matutino,Atropellamiento,4584932.60,432055.10
2015S008475,16,Tarde,Colisión Lateral,4584824.29,432103.78
2015S006010,12,Matutino,Choque vs objeto estático,4584768.20,432759.03
2015S001882,16,Tarde,Alcance,4584795.68,432251.06
2015S000598,20,Tarde,Caida (dos ruedas),4584882.43,432334.64
2015S002514,21,Tarde,Caida (dos ruedas),4584941.46,432349.49
2015S000496,19,Tarde,Colisión frontal-lateral,4584751.45,432434.06
2015S009845,18,Tarde,Colisión Lateral,4585012.86,432102.65
2015S005886,8,Matutino,Alcance,4584635.84,432641.17
2015S009924,9,Matutino,Colisión frontal-lateral,4585268.94,432612.39
2015S006700,21,Tarde,Colisión Lateral,4585268.94,432612.39
2015S002323,22,Noche,Colisión frontal-lateral,4585102.37,432385.75
2015S006305,17,Tarde,Colisión Lateral,4585230.06,432171.99
2015S002600,12,Matutino,Atropellamiento,4585093.19,432551.03
2015S002531,19,Tarde,Atropellamiento,4585063.50,433041.10
2015S007997,20,Tarde,Colisión frontal-lateral,4585514.34,432844.22
2015S006939,17,Tarde,Alcance,4585128.37,432937.09
2015S000364,14,Tarde,Caida (dos ruedas),4586091.77,433046.65
2015S004950,22,Noche,Caida (dos ruedas),4584343.27,431996.66
2015S001978,15,Tarde,Colisión frontal-lateral,4584356.67,432002.87
2015S007622,18,Tarde,Choque vs objeto estático,4585683.28,432881.67
2015S006489,16,Tarde,Colisión Lateral,4584351.74,431862.24
2015S000119,14,Tarde,Colisión Lateral,4584351.74,431862.24
2015S003643,8,Matutino,Caida (dos ruedas),4584155.03,432069.63
2015S009339,15,Tarde,Colisión Lateral,4584181.50,432172.41
2015S004361,16,Tarde,Alcance,4584333.52,432036.77
2015S004361,16,Tarde,Colisión Lateral,4584333.52,432036.77
2015S009984,20,Tarde,Colisión frontal-lateral,4585862.62,433330.95
2015S007468,17,Tarde,Caída interior vehículo,4584197.87,432229.70
2015S002382,21,Tarde,Colisión frontal-lateral,4584197.87,432229.70
2015S009550,16,Tarde,Caida (dos ruedas),4584590.03,432090.51
2015S003497,9,Matutino,Alcance,4584671.88,432188.79
2015S002605,14,Tarde,Choque vs objeto estático,4585714.83,433044.94
2015S002721,7,Matutino,Colisión frontal-lateral,4585756.57,433302.68
2015S006503,11,Matutino,Colisión frontal-lateral,4585827.78,433367.40
2015S005366,19,Tarde,Colisión frontal-lateral,4586314.62,433876.02
2015S000964,5,Noche,Choque vs objeto estático,4584725.51,435033.45
2015S003954,16,Tarde,Choque vs objeto estático,4584731.20,435017.20
2015S005052,9,Matutino,Colisión Lateral,4584474.96,434871.49
2015S003867,20,Tarde,Alcance,4586135.96,433697.47
2015S003156,14,Tarde,Atropellamiento,4586231.17,433719.90
2015S006682,14,Tarde,Alcance,4586425.60,433902.53
2015S004614,13,Matutino,Alcance,4585946.20,434078.33
2015S007924,21,Tarde,Colisión Lateral,4584631.33,433479.56
2015S009912,17,Tarde,Atropellamiento,4585192.35,433855.67
2015S004492,23,Noche,Colisión frontal-lateral,4585089.43,434505.27
2015S007333,19,Tarde,Atropellamiento,4584587.72,433686.57
2015S001642,10,Matutino,Colisión frontal-lateral,4584587.72,433686.57
2015S002821,9,Matutino,Atropellamiento,4584711.11,433213.52
2015S001042,19,Tarde,Colisión frontal-lateral,4585110.24,433224.20
2015S001449,8,Matutino,Alcance,4585179.69,433295.33
2015S008731,10,Matutino,Colisión Lateral,4584965.06,433144.75
2015S000203,18,Tarde,Colisión Lateral,4584691.03,432792.39
2015S008531,12,Matutino,Colisión frontal-lateral,4584771.43,433092.38
2015S006600,7,Matutino,Colisión Lateral,4584854.79,433049.96
2015S008934,21,Tarde,Colisión Lateral,4584810.98,433243.40
2015S007110,23,Noche,Colisión Frontal,4584803.00,433117.47
2015S004807,0,Noche,Alcance,4585339.91,433508.55
2015S003509,14,Tarde,Colisión Lateral,4584901.86,433010.80
2015S008484,20,Tarde,Alcance,4584971.32,433081.94
2015S005476,12,Matutino,Colisión Lateral,4584971.32,433081.94
2015S001722,19,Tarde,Otras,4583301.34,433228.21
2015S004125,12,Matutino,Alcance,4583617.04,433710.49
2015S008964,17,Tarde,Colisión Lateral,4583730.00,433168.68
2015S002114,12,Matutino,Colisión Lateral,4583631.01,433272.98
2015S001709,13,Matutino,Colisión frontal-lateral,4583311.72,432897.25
2015S003510,13,Matutino,Colisión frontal-lateral,4583446.20,433074.50
2015S006495,18,Tarde,Alcance múltiple,4583354.13,433697.80
2015S005236,17,Tarde,Alcance múltiple,4582953.45,433480.42
2015S008768,7,Matutino,Colisión Lateral,4583594.71,433877.91
2015S007316,12,Matutino,Caida (dos ruedas),4583499.03,432888.72
2015S006844,15,Tarde,Colisión frontal-lateral,4583316.84,433636.09
2015S002330,5,Noche,Colisión Frontal,4583346.77,432997.21
2015S001057,9,Matutino,Colisión Lateral,4584045.36,433438.75
2015S008065,8,Matutino,Caida (dos ruedas),4584333.15,433191.04
2015S000586,13,Matutino,Colisión Frontal,4584134.06,433345.46
2015S009276,17,Tarde,Choque vs objeto estático,4583534.43,433556.62
2015S004966,18,Tarde,Colisión Lateral,4583592.81,433381.15
2015S005797,17,Tarde,Colisión Lateral,4583174.38,433776.65
2015S009384,18,Tarde,Alcance múltiple,4583102.38,433705.19
2015S005463,19,Tarde,Colisión Frontal,4583102.38,433705.19
2015S000069,15,Tarde,Alcance,4583102.38,433705.19
2015S004230,17,Tarde,Colisión Lateral,4583034.46,433630.18
2015S009040,14,Tarde,Alcance,4582893.36,433485.25
2015S001484,9,Matutino,Alcance,4583434.56,433926.41
2015S008529,8,Matutino,Colisión Lateral,4582905.96,433473.30
2015S002119,13,Matutino,Colisión Frontal,4582905.96,433473.30
2015S002387,23,Noche,Colisión Frontal,4582905.96,433473.30
2015S005288,22,Noche,Atropellamiento,4584016.39,433475.02
2015S007573,20,Tarde,Caída interior vehículo,4583905.03,433508.82
2015S008427,0,Noche,Colisión frontal-lateral,4584017.84,433464.24
2015S000904,15,Tarde,Caida (dos ruedas),4584241.29,432893.58
2015S003949,11,Matutino,Colisión Lateral,4583874.95,433932.77
2015S003374,12,Matutino,Colisión frontal-lateral,4584514.79,433571.61
2015S009875,6,Matutino,Colisión frontal-lateral,4584620.05,433984.39
2015S004348,17,Tarde,Colisión frontal-lateral,4584230.89,433624.41
2015S007530,15,Tarde,Atropellamiento,4584548.76,433969.22
