IdExpediente,Hora,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_Y,CoordenadaUTM_X
2013S003321,19,Otras,Motocicleta,SCARABEO 125,APRILIA,Platejat,A,34,4585510.18,432563.54
2013S000550,17,No es causa del peatón,Motocicleta,CYGNUS 125,YAMAHA,Negre,B,18,4582683.49,433269.63
2013S000552,19,No es causa del peatón,Turismo,320,BMW,Gris,B,21,4585460.09,433580.94
2013S000555,20,No es causa del peatón,Motocicleta,SH 125,HONDA,Negre,A,22,4580521.15,427540.32
2013S006290,16,No es causa del peatón,Motocicleta,SCV100,HONDA,Gris,B,7,4582236.15,431083.18
2013S006437,9,No es causa del peatón,Bicicleta,Desconocido,BICING,Vermell,Desconocido,Desconocido,4586699.64,430739.93
2013S007236,16,No es causa del peatón,Motocicleta,PHANTEON,HONDA,Vermell,B,21,4583904.96,432994.52
2013S007237,18,No es causa del peatón,Motocicleta,BONNEVILLE,TRIUMPH,Altres,A2,37,4582083.33,425819.56
2013S007243,0,No es causa del peatón,Motocicleta,SH 125,HONDA,Negre,B,20,4584737.08,430722.16
2013S007375,14,No es causa del peatón,Turismo,PRIUS,TOYOTA,Blanc,B,22,4586945.65,431857.35
2013S007376,17,No es causa del peatón,Turismo,320,BMW,Gris,B,38,4579885.35,427810.63
2013S000006,5,No es causa del peatón,Turismo,PRIMERA,NISSAN,Gris,B,4,4577279.25,427017.84
2013S000687,20,No es causa del peatón,Motocicleta,X Max,YAMAHA,Vermell,A,34,4584103.91,430390.25
2013S000688,20,No es causa del peatón,Taxi,TOLEDO,SEAT,Groc,BTP,11,4582425.04,430908.25
2013S000830,2,No es causa del peatón,Turismo,X6,BMW,Negre,B,24,4588906.94,432617.25
2013S000832,9,No es causa del peatón,Motocicleta,Transalp,HONDA,Negre,A,34,4583163.71,429442.56
2013S000959,13,No es causa del peatón,Turismo,TOUAREG,VOLKSWAGEN,Altres,BTP,25,4584263.86,428333.14
2013S006702,21,No es causa del peatón,AutobŁs,CITYCLASS,IRISBUS,Groc,D,6,4582762.3,431482.46
2013S006834,7,No es causa del peatón,Motocicleta,AN 400,SUZUKI,Negre,Desconocido,Desconocido,4586927.07,430100.29
2013S006839,10,No es causa del peatón,Turismo,COROLLA,TOYOTA,Gris,B,17,4588858.96,431677.86
2013S005352,18,No es causa del peatón,Motocicleta,BANDIT,SUZUKI,Negre,A,6,4583817.71,431915.04
2013S005353,19,No es causa del peatón,Ciclomotor,SH 50,HONDA,Gris,AM,2,4587189.86,427688.77
2013S005488,9,No es causa del peatón,Bicicleta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,4587747.75,431849.89
2013S005492,13,No es causa del peatón,Turismo,PUNTO,FIAT,Gris,B,8,4584975.04,429679.3
2013S000010,11,No es causa del peatón,Turismo,AURIS,TOYOTA,Negre,B,37,4585756.57,433302.68
2013S000138,19,No es causa del peatón,Turismo,PANDA,FIAT,Blau,B,2,4582066.07,426741.27
2013S000145,6,No es causa del peatón,Motocicleta,CBF 600,HONDA,Gris,A,31,4577685.05,428297.77
2013S000264,10,No es causa del peatón,Turismo,320,BMW,Blanc,Desconocido,Desconocido,4582920.02,429393.64
2013S000267,12,No es causa del peatón,Motocicleta,NHX 110,HONDA,Gris,B,15,4584787.69,430949.25
2013S000268,14,No es causa del peatón,Motocicleta,FORESIGHT 250 FES,HONDA,Violeta,A,20,4580869.48,428218.86
2013S000270,16,Desobedecer Semáforo,Motocicleta,GS 500 E,SUZUKI,Negre,A,4,4582753.42,431147.95
2013S000964,17,No es causa del peatón,Bicicleta,Desconocido,Desconocido,Blau,Desconocido,Desconocido,4582920.56,432658.6
2013S000964,17,No es causa del peatón,Furgoneta,BERLINGO,CITROEN,Blanc,B,21,4582920.56,432658.6
2013S000965,18,No es causa del peatón,Turismo,MULTIPLA,FIAT,Blau,B,13,4583500.88,427583.77
2013S006841,12,No es causa del peatón,Turismo,306,PEUGEOT,Verd,B,26,4583723.28,428783.71
2013S006966,9,No es causa del peatón,Turismo,CLIO,RENAULT,Gris,B,16,4579438.63,428253.61
2013S006974,21,No es causa del peatón,Furgoneta,KANGOO,RENAULT,Blanc,B,27,4582893.84,428631.34
2013S007091,21,No es causa del peatón,Motocicleta,YP 125,YAMAHA,Negre,A1,4,4582860.85,429018.04
2013S007093,22,No es causa del peatón,Motocicleta,X-9,PIAGGIO,Negre,A,3,4581118.25,430123.69
2013S005764,17,No es causa del peatón,"Camión <= 3,5 Tm",ML 120,IVECO FIAT,Blanc,C1,28,4581003.33,427109.94
2013S005765,17,No es causa del peatón,Turismo,FOCUS,FORD,Negre,B,25,4580906.53,430106.85
2013S005765,17,No es causa del peatón,Ciclomotor,TYPHOON 50,PIAGGIO,Blau,Desconocido,Desconocido,4580906.53,430106.85
2013S005766,20,No es causa del peatón,Turismo,FUSION,FORD,Blau,B,12,4582966.03,430434.86
2013S005903,21,No es causa del peatón,Motocicleta,PCX,HONDA,Negre,B,9,4581829.7,429606.49
2013S005907,11,No es causa del peatón,Turismo,MEGANE,RENAULT,Negre,B,7,4584894.88,427097.51
2013S007393,6,No es causa del peatón,Turismo,AVEO,CHEVROLET,Blau,Desconocido,Desconocido,4582079.74,425749.23
2013S007394,6,No es causa del peatón,Motocicleta,AN 125,SUZUKI,Negre,Desconocido,Desconocido,4582118.92,430333.08
2013S007396,9,No es causa del peatón,Taxi,ALMERA,NISSAN,Altres,BTP,38,4581720.28,429697.48
2013S005367,11,No es causa del peatón,Furgoneta,SCUDO,FIAT,Blanc,B,25,4583888.26,429340.39
2013S005369,12,No es causa del peatón,Motocicleta,Streetfighter 848,DUCATI,Vermell,A2,18,4586177.62,428104
2013S005913,18,No es causa del peatón,Motocicleta,SIXTEEN,SUZUKI,Gris,B,4,4587286.03,429840.21
