IdExpediente,Hora,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_Y,CoordenadaUTM_X
2015S004912,19,No es causa del peatón,Turismo,ALMERA,NISSAN,Gris,B,36,-1,-1
2015S002169,21,No es causa del peatón,Turismo,ASTRA,OPEL,Gris,B,1,-1,-1
2015S003045,19,No es causa del peatón,Turismo,SAXO,CITROEN,Blanc,B,3,4585274.89,432115.62
2015S002476,11,No es causa del peatón,Turismo,JAZZ,HONDA,Gris,B,2,4585497.44,432013.01
2015S009751,14,No es causa del peatón,Motocicleta,AGILITY 125,KYMCO,Negre,B,4,4585145.10,431990.72
2015S001125,17,No es causa del peatón,Turismo,COROLLA,TOYOTA,Gris,B,16,4585270.45,431626.67
2015S001125,17,No es causa del peatón,Taxi,OCTAVIA,SKODA,Negre/Groc,BTP,6,4585270.45,431626.67
2015S007041,13,No es causa del peatón,Autobús,NL 18,MAN,Vermell,D,17,4585336.24,431615.03
2015S007294,14,Otras,Motocicleta,SH 100,HONDA,Blau,A,26,4585204.89,431517.12
2015S002616,22,No es causa del peatón,Motocicleta,SH 150,HONDA,Gris,A1,5,4585407.65,431582.74
2015S009981,20,No es causa del peatón,Motocicleta,CBR 125,HONDA,Negre,B,19,4585408.44,431589.89
2015S006832,16,No es causa del peatón,Furgoneta,BERLINGO,CITROEN,Desconocido,B,16,4585413.39,431717.40
2015S003314,20,No es causa del peatón,Turismo,93,SAAB,Negre,B,17,4585014.79,431213.29
2015S006533,7,No es causa del peatón,Motocicleta,SH 300,HONDA,Blanc,A,4,4585099.31,431268.10
2015S008631,10,No es causa del peatón,Autobús,CITYCLASS,IRISBUS,Vermell,D,24,4585103.11,431274.19
2015S007312,10,No es causa del peatón,Turismo,206,PEUGEOT,Blau,B,20,4584892.85,431407.84
2015S002937,22,No es causa del peatón,Taxi,TOLEDO,SEAT,Altres,BTP,3,4584668.41,431563.00
2015S004660,10,No es causa del peatón,Turismo,CORSA,OPEL,Blanc,B,15,4584895.32,431616.88
2015S000505,14,No es causa del peatón,Turismo,IBIZA,SEAT,Blau,B,10,4584809.35,431569.05
2015S000654,11,No es causa del peatón,Bicicleta,Desconocido,BICING,Vermell,Desconocido,Desconocido,4584826.12,431819.65
2015S009330,11,No es causa del peatón,Motocicleta,Desconocido,BULTACO,Gris,A,28,4584575.49,431847.16
2015S009038,13,No es causa del peatón,Motocicleta,SCV100,HONDA,Negre,B,15,4584488.01,431940.62
