IdExpediente,Hora,Turno,Tipo_Accidente,CoordenadaUTM_X,CoordenadaUTM_Y,Longitud,Latitud
2016S002575,10,Matutino,Alcance,432111.21,4585072.01,2.186566,41.412487
2016S001146,14,Tarde,Colisión Lateral,432111.38,4585084.58,2.1865650000000003,41.412595
2016S009619,8,Matutino,Atropellamiento,431846.11,4585523.1,2.183345,41.416527
2016S003881,13,Matutino,Choque vs objeto estático,431966.77,4585486.86,2.1847849999999998,41.416204
2016S004162,0,Noche,Choque vs objeto estático,431349.11,4585178.66,2.177437,41.413377000000004
2016S009951,5,Noche,Atropellamiento,431615.03,4585336.24,2.180602,41.414823
2016S004619,9,Matutino,Alcance,431598.8,4585404.32,2.180391,41.415434000000005
2016S009702,10,Matutino,Caida (dos ruedas),431363.56,4584864.48,2.1776400000000002,41.41055
2016S003529,17,Tarde,Colisión frontal-lateral,431407.84,4584892.85,2.1781639999999998,41.410806
2016S008654,16,Tarde,Colisión Lateral,431627.84,4585125.07,2.1807689999999997,41.412924
2016S000060,16,Tarde,Colisión Lateral,431675.33,4584558.04,2.1814080000000002,41.407821000000006
2016S008792,7,Matutino,Colisión frontal-lateral,431981.36,4584707.48,2.185052,41.409189000000005
2016S005399,0,Noche,Alcance múltiple,432081.62,4584802.38,2.1862369999999998,41.410053000000005
2016S001040,12,Matutino,Alcance,432087.63,4584618.32,2.18633,41.408396
2016S000582,21,Tarde,Caida (dos ruedas),431910.19,4584821.44,2.184189,41.41021
2016S010139,18,Tarde,Choque vs objeto estático,431665.97,4585139.54,2.181222,41.413053000000005
2016S007666,14,Tarde,Alcance,432593.28,4585139.3,2.192325,41.413131
2016S002602,12,Matutino,Alcance,432178.22,4584721.08,2.187407,41.409332
2016S003946,8,Matutino,Colisión Lateral,432190.18,4584732.59,2.187549,41.409432
2016S007429,9,Matutino,Colisión Lateral,432192.33,4584745.52,2.1875720000000003,41.409549
2016S005998,17,Tarde,Alcance,432354.21,4584318.7,2.1895580000000003,41.405716999999996
2016S001264,9,Matutino,Colisión Lateral,432736.57,4585142.39,2.194036,41.41317
2016S003821,20,Tarde,Atropellamiento,432159.19,4584733.91,2.187178,41.409438
2016S008680,8,Matutino,Alcance,432102.65,4585012.86,2.186465,41.411946
