IdExpediente,Hora,Turno,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_X,CoordenadaUTM_Y,Longitud,Latitud
2018S007344,0,Noche,No es causa del peatón,Turisme,CORDOBA,SEAT,Blanc,B,5,431228.3,4581110.84,2.176455,41.376735
2018S009617,0,Noche,No es causa del peatón,Turisme,206,PEUGEOT,Blau,B,1,431320.52,4580791.56,2.177594,41.373868
2018S008382,0,Noche,No es causa del peatón,"Camión > 3,5 tones",Desconocido,DAF-HERMANNS,Taronja,C,25,431052.34,4581514.69,2.174305,41.380358
2018S002684,0,Noche,No es causa del peatón,"Camión > 3,5 tones",ML140E24 E,IVECO FIAT,Blanc,C,11,431241.33,4581757.56,2.1765380000000003,41.382560999999995
2018S004886,0,Noche,No es causa del peatón,Taxi,TOLEDO,SEAT,Negre/Groc,B,5,431390.44,4581135.49,2.178391,41.376971000000005
2018S004886,0,Noche,No es causa del peatón,Taxi,TOLEDO,SEAT,Negre/Groc,B,7,431390.44,4581135.49,2.178391,41.376971000000005
2018S004886,0,Noche,No es causa del peatón,Turisme,MEGANE,RENAULT,Negre,B,2,431390.44,4581135.49,2.178391,41.376971000000005
2018S008381,0,Noche,Transitar a pie por calzada,Taxi,TOLEDO,SEAT,Negre/Groc,B,33,431139.5,4581621.32,2.175336,41.381325
2018S006793,0,Noche,No es causa del peatón,Turisme,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,431572.69,4581329.72,2.180549,41.378735999999996
2018S006793,0,Noche,No es causa del peatón,Turisme,FIESTA,FORD,Negre,B,19,431572.69,4581329.72,2.180549,41.378735999999996
2018S007251,0,Noche,No es causa del peatón,Ciclomotor,SCOOPY 50,HONDA,Negre,AM,12,431380.16,4581118.83,2.17827,41.37682
2018S007251,0,Noche,No es causa del peatón,Turisme,LEON,SEAT,Vermell,B,10,431380.16,4581118.83,2.17827,41.37682
2018S008418,0,Noche,No es causa del peatón,Turisme,Altea,SEAT,Blanc,B,23,431361.07,4582062.37,2.1779349999999997,41.385317
